Mладоженецот	The groom	Mladozhenetsot
дознаеме	let's find out	doznaeme
дознаете	find out	doznaete
дознаеш	you find out	doznaesh
дознаеше	found out	doznaeshe
дознај	find out	doznaj
дознајте	find out	doznajte
дознал	found out	doznal
дознале	they found out	doznale
дозреа	they ripened	dozrea
дозрее	mature	dozree
дои	breastfeed	doi
Доик	Doik	Doik
Доика	Doika	Doika
доилка	nurse	doilka
доилката	the nurse	doilkata
доилки	nursing mothers	doilki
доилките	nursing mothers	doilkite
Доилче	Weaner	Doilche
доилчето	the nursing baby	doilcheto
доилчињата	the nursing babies	doilchinjata
доискажав	I finished speaking.	doiskazhav
доиш	you are breastfeeding	doish
дој	come	doj
дојаде	finished eating	dojade
дојат	breastfeeding	dojat
дојдам	I come	dojdam
дојдат	come	dojdat
дојде	came	dojde
дојдеа	they came	dojdea
дојдев	I came	dojdev
дојдеме	let's come	dojdeme
дојден	arrived	dojden
дојденец	newcomer	dojdenets
дојденецот	the newcomer	dojdenetsot
дојдени	comers	dojdeni
дојденикот	the newcomer	dojdenikot
дојдениот	the newcomer	dojdeniot
дојдените	the newcomers	dojdenite
дојдено	arrived	dojdeno
дојденците	the newcomers	dojdentsite
дојдете	come	dojdete
дојдеш	you come	dojdesh
дојдеше	came	dojdeshe
дојди	come	dojdi
дојдоа	they came	dojdoa
дојдов	I came	dojdov
дојдовме	we came	dojdovme
дојдовте	you came	dojdovte
доје	breastfeed	doje
дојки	breasts	dojki
дојода	come here	dojoda
док	dock	dok
дока	while	doka
докажа	proved	dokazha
докажавме	we proved	dokazhavme
докажавте	you proved	dokazhavte
докажам	prove	dokazham
докажан	proven	dokazhan
докажана	proven	dokazhana
докажаниот	the proven	dokazhaniot
докажано	proven	dokazhano
докажат	prove	dokazhat
докаже	prove	dokazhe
докажеме	prove	dokazheme
докажете	prove	dokazhete
докажеш	prove	dokazhesh
докажи	prove	dokazhi
докажува	proves	dokazhuva
докажуваат	prove	dokazhuvaat
докажувајќи	proving	dokazhuvajkji
докажуваме	we prove	dokazhuvame
докажување	proving	dokazhuvanje
докажувате	you prove	dokazhuvate
докажуваш	you prove	dokazhuvash
докажуваше	proved	dokazhuvashe
доказ	proof	dokaz
докази	evidence	dokazi
доказите	the evidence	dokazite
доказот	the proof	dokazot
докај	wait	dokaj
доколку	if	dokolku
докрај	all the way	dokraj
докрајчам	I finish.	dokrajcham
докрајчи	all the way	dokrajchi
докрајчив	complete	dokrajchiv
докрајчиш	you finish	dokrajchish
докрајчува	finishes	dokrajchuva
докрши	break it	dokrshi
Доксологија	Doxology	Doksologija
Докторе	Doctor	Doktore
документ	document	dokument
документи	documents	dokumenti
дол	valley	dol
долг	debt	dolg
долга	long	dolga
долгата	the long one	dolgata
долги	long	dolgi
долгиот	the long one	dolgiot
долгите	the long ones	dolgite
долго	long	dolgo
долговечна	long-lasting	dolgovechna
долговечните	the long-lived	dolgovechnite
долговечно	long-lasting	dolgovechno
долговечност	longevity	dolgovechnost
долгови	debts	dolgovi
долговите	debts	dolgovite
долгоденствие	longevity	dolgodenstvie
долгоденствието	longevity	dolgodenstvieto
долгокоса	long-haired	dolgokosa
долголетие	longevity	dolgoletie
долгоочекуваниот	the long-awaited	dolgoochekuvaniot
долгот	the debt	dolgot
долгото	the debt	dolgoto
долготрајна	long-lasting	dolgotrajna
долготрајни	long-lasting	dolgotrajni
долготрпелив	long-suffering	dolgotrpeliv
долготрпелива	long-suffering	dolgotrpeliva
долготрпеливи	long-suffering	dolgotrpelivi
Долготрпеливиот	The long-suffering one	Dolgotrpeliviot
долготрпеливост	long-suffering	dolgotrpelivost
долготрпеливоста	long-suffering	dolgotrpelivosta
долготрпеливота	long-suffering	dolgotrpelivota
долготрпение	long-suffering	dolgotrpenie
долготрпението	patience	dolgotrpenieto
долготрпенија	long-suffering	dolgotrpenija
долеваат	they pour down	dolevaat
долен	lower	dolen
долепи	stick	dolepi
долепија	they stuck	dolepija
долепите	you are welcome	dolepite
долепува	sticks	dolepuva
долепуваат	they stick together	dolepuvaat
долета	arrived	doleta
долетаа	they flew in	doletaa
долетаат	they fly in	doletaat
Долетајте	Fly over.	Doletajte
долетуваат	they fly in	doletuvaat
долетуваше	was flying in	doletuvashe
долж	along	dolzh
должам	I owe	dolzham
должел	owed	dolzhel
должеле	owed	dolzhele
должен	owed	dolzhen
долженија	obligations	dolzhenija
должете	you owe	dolzhete
должеше	owed	dolzheshe
должи	owes	dolzhi
должија	owed	dolzhija
должина	length	dolzhina
должината	the length	dolzhinata
должите	you owe	dolzhite
должиш	you owe	dolzhish
должна	due	dolzhna
должни	obliged	dolzhni
должник	debtor	dolzhnik
должникот	the debtor	dolzhnikot
должници	debtors	dolzhnitsi
должниците	debtors	dolzhnitsite
должност	duty	dolzhnost
должноста	the duty	dolzhnosta
должности	duties	dolzhnosti
должностите	the duties	dolzhnostite
должува	owes	dolzhuva
доли	down	doli
долија	valley	dolija
доликува	befitting	dolikuva
долина	valley	dolina
долината	the valley	dolinata
долини	valleys	dolini
долините	the valleys	dolinite
Долинската	The Valley	Dolinskata
долински	valley	dolinski
Долинските	The Valleys	Dolinskite
долиштата	the valleys	dolishtata
долна	lower	dolna
долната	the bottom	dolnata
долни	lower	dolni
долниот	the lower one	dolniot
долните	the lower ones	dolnite
долно	bottom	dolno
доловам	I catch	dolovam
долови	ravines	dolovi
доловите	the ravines	dolovite
доловиш	you capture	dolovish
долом	valley	dolom
долот	the valley	dolot
долу	down	dolu
дом	home	dom
дома	home	doma
домаќин	host	domakjin
домаќините	the hosts	domakjinite
домаќинката	the housewife	domakjinkata
домаќинки	housewives	domakjinki
домаќинките	housewives	domakjinkite
домаќинот	the host	domakjinot
домаќинство	household	domakjinstvo
домаќинството	the household	domakjinstvoto
домашен	domestic	domashen
домашна	homemade	domashna
домашни	domestic	domashni
домашните	domestic	domashnite
доме	home	dome
доминира	dominates	dominira
домо	home	domo
домов	home	domov
домови	homes	domovi
домовите	the homes	domovite
домородец	native	domorodets
домородецот	the native	domorodetsot
домородкиве	the natives	domorodkive
домородци	natives	domorodtsi
домородците	the natives	domorodtsite
домот	the home	domot
домоуправител	house manager	domoupravitel
домоуправители	house managers	domoupraviteli
домоуправителот	the house manager	domoupravitelot
домоуправник	house manager	domoupravnik
дому	home	domu
дон	don	don
доначалникот	the lieutenant commander	donachalnikot
доне	brought	done
донекаде	somewhat	donekade
донел	brought	donel
донела	brought	donela
донеле	brought	donele
донесам	bring	donesam
донесат	bring	donesat
донесе	brought	donese
донесеме	we bring	doneseme
донесен	brought	donesen
донесена	adopted	donesena
донесени	brought	doneseni
донесено	brought	doneseno
донесете	bring	donesete
донесеуваат	bring	doneseuvaat
донесеш	you bring	donesesh
донеси	bring	donesi
донесла	brought	donesla
донесле	brought	donesle
донесоа	they brought	donesoa
донесов	I brought	donesov
донесовме	we brought	donesovme
донесол	brought	donesol
Донесте	You brought.	Doneste
донесува	brings	donesuva
донесуваа	they brought	donesuvaa
донесуваат	bring	donesuvaat
донесував	I was bringing	donesuvav
донесувавме	we brought	donesuvavme
донесувај	bring	donesuvaj
донесувајки	bringing	donesuvajki
донесувајќи	bringing	donesuvajkji
донесувајте	bring	donesuvajte
донесувам	I bring	donesuvam
донесуваме	we bring	donesuvame
донесувани	brought	donesuvani
донесувано	brought	donesuvano
донесување	adoption	donesuvanje
донесувањето	the adoption	donesuvanjeto
донесувате	you bring	donesuvate
донесуваш	you bring	donesuvash
донесуваше	brought	donesuvashe
доно	dono	dono
доносителот	the bearer	donositelot
доносни	profitable	donosni
доносно	profitable	donosno
доносор	donor	donosor
донците	the Dons	dontsite
доп	dop	dop
допаѓа	like	dopagja
допаѓаше	liked it	dopagjashe
допадна	liked	dopadna
допаднаа	liked	dopadnaa
допаднал	liked	dopadnal
допаднат	like	dopadnat
допадне	like	dopadne
допаднеш	you like it	dopadnesh
допатуваа	they arrived	dopatuvaa
допир	touch	dopir
допира	touches	dopira
допираа	they touched	dopiraa
допираат	touch	dopiraat
допирај	touch	dopiraj
допирајќи	touching	dopirajkji
допирајте	touch	dopirajte
допирање	touching	dopiranje
допирате	you touch	dopirate
допираше	touched	dopirashe
допишани	added	dopishani
доплатам	I pay extra.	doplatam
допловив	I sailed.	doploviv
допловивме	we sailed	doplovivme
допловија	they sailed	doplovija
допловиме	let's sail	doplovime
допловуваа	they sailed	doplovuvaa
дополнам	I supplement	dopolnam
Дополнете	Add.	Dopolnete
дополни	supplement	dopolni
дополнивте	you added	dopolnivte
дополниме	let's supplement	dopolnime
дополнителен	additional	dopolnitelen
