"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"axion","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>axion</b><br>A hypothetical elementary particle postulated to explain why there is no observed CP violation (see <a href=""entry://CP invariance"">CP invariance</a>) in the strong interaction (see <a href=""entry://fundamental interactions"">fundamental interactions</a>). Axions have not been detected experimentally, although it has been possible to put limits on their mass and other properties from the effects that they would have on some astrophysical phenomena (e.g. the cooling of stars). It has also been suggested that they may account for some or all of the missing matter in the universe (see <a href=""entry://missing mass"">missing mass</a>)"
"axis","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>axis</b><br><b>1</b> One of a set of reference lines used to locate points on a graph or in a coordinate system. See <a href=""entry://Cartesian coordinates"">Cartesian coordinates</a>; <a href=""entry://polar coordinates"">polar coordinates</a>.
<br><b>2</b> A line about which a figure, curve, or body is symmetrical (<i>axis of symmetry</i> ) or about which it rotates (<i>axis of rotation</i> )."
"azeotrope","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>azeotrope</b><i>(azeotropic mixture; constant-boiling mixture)</i>
<br>A mixture of two liquids that boils at constant composition; i.e. the composition of the vapour is the same as that of the liquid. Azeotropes occur because of deviations in Raoult's law leading to a maximum or minimum in the <a href=""entry://boiling-point&mdash;composition diagram"">boiling-point&mdash;composition diagram</a>. When the mixture is boiled, the vapour initially has a higher proportion of one component than is present in the liquid, so the proportion of this in the liquid falls with time. Eventually, the maximum and minimum point is reached, at which the two liquids distil together without change in composition. The composition of an azeotrope depends on the pressure"
"azimuth","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>azimuth</b><br>See <a href=""entry://polar coordinates"">polar coordinates</a>"
"azimuthal quantum number","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>azimuthal quantum number</b><br>See <a href=""entry://atom"">atom</a>."
"Babbit metal","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Babbit metal</b>
<br>Any of a group of related alloys used for making bearings. They consist of tin containing antimony (about 10%) and copper (1&ndash;2%), and often lead. The original alloy was invented in 1839 by the US inventor Isaac Babbit (1799&ndash;1862)"
"Babo's law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Babo's law</b><br>The vapour pressure of a liquid is decreased when a solute is added, the amount of the decrease being proportional to the amount of solute dissolved. The law was discovered in 1847 by the German chemist Lambert Babo (1818&ndash;99). See also <a href=""entry://Raoult's law"">Raoult's law</a>"
"back e.m.f.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>back e.m.f.</b><br>An electromotive force that opposes the main current flow in a circuit. For example, when the coils of the armature in an electric motor are rotated a back e.m.f. is generated in these coils by their interaction with the field magnet (see <a href=""entry://inductance"">inductance</a>). Also, in an electric cell, <a href=""entry://polarization"">polarization</a> causes a back e.m.f. to be set up, in this case by chemical means"
"background radiation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>background radiation</b><br>Low intensity <a href=""entry://ionizing radiation"">ionizing radiation</a> present on the surface of the earth and in the atmosphere as a result of <a href=""entry://cosmic radiation"">cosmic radiation</a> and the presence of radioisotopes in the earth's rocks, soil, and atmosphere. The radioisotopes are either natural or the result of nuclear fallout or waste gas from power stations. Background counts must be taken into account when measuring the radiation produced by a specified source. See also <a href=""entry://microwave background radiation"">microwave background radiation</a>"
"backing store","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>backing store</b><br>Supplementary computer memory, usually in the form of magnetic disks, in which data and programs are held permanently for reference; small sections of this information can then be copied into the main memory (<a href=""entry://RAM"">RAM</a>) of a computer when required for processing. Backing store is less costly and can hold more information than semiconductor RAM, but the speed of access of information in RAM is considerably faster. Use of a hierarchy of different memory devices, including backing store and RAM, greatly improves performance, efficiency, and economy in a computer"
"backup","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>backup</b><br>A resource that can be used as a substitute in the event of, say, a fault in a component or system or loss of data from a computer file. A backup file is a copy of a file taken in case the original is destroyed or unintentionally altered and the data lost"
"balance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>balance</b><br>An accurate weighing device. The simple <i>beam balance</i> consists of two pans suspended from a centrally pivoted beam. Known masses are placed on one pan and the substance or body to be weighed is placed in the other. When the beam is exactly horizontal the two masses are equal. An accurate laboratory balance weights to the nearest hundredth of a milligram. Specially designed balances can be accurate to a millionth of a milligram. More modern <i>substitution balances</i> use the substitution principle. In this calibrated weights are removed from the single lever arm to bring the single pan suspended from it into equilibrium with a fixed counter weight. The substitution balance is more accurate than the two-pan device and enables weighing to be carried out more rapidly. In automatic electronic balances, mass is determined not by mechanical deflection but by electronically controlled compensation of an electric force. A scanner monitors the displacement of the pan support generating a current proportional to the displacement. This current flows through a coil forcing the pan support to return to its original position by means of a magnetic force. The signal generated enables the mass to be read from a digital display. The mass of the empty container can be stored in the balance's computer memory and automatically deducted from the mass of the container plus its contents. See also <a href=""entry://spring balance"">spring balance</a>"
"ball lightning","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ball lightning</b><br>A white or reddish luminous sphere, about 50 cm in diameter, that sometimes appears at ground level in a thunderstorm. Ball lightning is slow moving and usually disappears without detonation. See also <a href=""entry://lightning"">lightning</a>"
"ballistic galvanometer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ballistic galvanometer</b><br>A moving-coil <a href=""entry://galvanometer"">galvanometer</a> designed for measuring charge by detecting a surge of current. It has a heavy coil with minimal damping. When a surge of current is passed through the coil, the initial maximum deflection (the ‘throw’) is proportional to the total charge that has passed"
"ballistic pendulum","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ballistic pendulum</b><br>A device used to measure the velocity of a projectile, such as a bullet. A large mass of relatively soft material is suspended from a horizontal bar and the angle through which this mass is displaced when it is struck by the projectile in flight enables the momentum and hence the velocity of the projectile to be calculated by successive application of the laws of conservation of linear momentum and of energy"
"ballistics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ballistics</b><br>The study of the flight of projectiles, especially those that have a parabolic flight path from one point on the earth's surface to another"
"Balmer series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Balmer series</b><br>See <a href=""entry://hydrogen spectrum"">hydrogen spectrum</a>"
"band spectrum","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>band spectrum</b><br>See <a href=""entry://spectrum"">spectrum</a>"
"band theory","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>band theory</b><br>The theory that, in crystals, electrons fall into allowed <a href=""entry://energy band"">energy bands</a>, between which lie forbidden bands. Although <a href=""entry://free-electron theory"">free-electron theory</a> can explain the electrical properties of materials, to understand fully the nature of electrical conduction, free-electron theory must be modified to include the effect of the crystal lattice in which the electrons move. Band theory modifies the free-electron treatment by including a regular periodic potential resulting from the positive ions in the lattice. Although the presence of the lattice alone does not give rise to electron scattering, except under special conditions, the periodic potential generated by the lattice does change the distribution of electron states given by the simple free-electron model.
<br>In principle the original particle-in-a-box problem is modified by the addition of an extra potential term V(<i>x</i>, <i>y</i>, <i>x</i>), where <i>V</i>(<i>x</i>, <i>y</i>, <i>x</i>) has the same periodicity of the lattice it represents. The <a href=""entry://Schrödinger equation"">Schrödinger equation</a> (see also <a href=""entry://quantum mechanics"">quantum mechanics</a>) that must be satisfied by these electron matter waves, ψ, is then: <div class=""equ"">- (h/2<i>m</i>)<sup class=""expo"">2</sup>(∂<sup class=""expo"">2</sup>ψ/∂<i>x</i><sup class=""expo"">2</sup> + ∂<sup class=""expo"">2</sup>ψ/∂<i>y</i><sup class=""expo"">2</sup> + ∂<sup class=""expo"">2</sup>ψ/<i>z</i><sup class=""expo"">2</sup>) + V(<i>x</i>,<i>y</i>,<i>z</i>)ψ = <i>E</i>ψ</div><center class=""pic""><img src=""000053.jpg"" ></img><br>Band theory</center>
<br>where <i>E</i> is the energy of the state associated with ψ. This equation is often called the <i>Block equation</i> ; it is difficult to solve even using approximate methods.
<br>As with the free-electron model, the Block equation leads to a relationship between the momenta that characterize an electron state, and the energy of that state. However, this relationship is no longer the simple parabolic function: <div class=""equ""><i>E</i> = <i>p</i><sup class=""expo"">2</sup>/2<i>m</i></div>,
<br>where <i>p</i> is the electron momentum that characterizes the state, and <i>m</i> is the mass of the electron. Instead the function is multivalued and there are certain forbidden bands of energy, i.e. no permitted states exist for them. The relationship between <i>E</i> and <i>p</i> for a one-dimensional crystal is shown in diagram (1).
<br>The main feature is that all the curves repeat themselves over an interval in <i>p</i> of <i>h</i>/<i>a</i>, where <i>h</i> is the Planck constant and <i>a</i> is called the <i>lattice constant</i> . The electron states on the lower curve indicated by the points S, S', and S?, are identical states except for their momentum values. The upper curves show that for each momentum value there are several permitted energies; one within each <a href=""entry://energy band"">energy band</a> (e.g. P, P', P?). In order to avoid the confusion that would arise if the complete multivalued set of curves were used, it is conventional to choose certain sections of them in which as <i>p</i> increases so does energy <i>E</i>. The smallest values, starting from <i>p</i> = 0, are reserved for the lowest energy band &ndash; the lowest curve in diagram (1). The next set from <i>p</i> = <i>h/2a</i> to <i>h</i>/<i>a</i> and -<i>h/2a</i> to -<i>h</i>/<i>a</i> is reserved for the second energy band, (the middle curve in diagram (1), and so on. This zone structure is illustrated in diagram (2) and is called the <i>extended zone scheme</i> . It is merely a useful convention; any sets of <i>p</i> values that cover a range of <i>h</i>/<i>a</i> could be used to span all the available energy states.
<br>A comparison of the extended zone scheme and the results of the free-electron model may easily be made by considering the relationship between <i>E</i> and <i>p</i> in the two models. This is shown in diagram (2) with the broken line corresponding to the free-electron parabolic relationship, <i>E</i>˜<i>p</i><sup class=""expo"">2</sup>.
<br>The number of permitted values of <i>p</i> in each of the extended zones is equal to the number of ions in the crystal. As in the free-electron theory, each state corresponding to a value of <i>p</i> can take up two orientations of <a href=""entry://spin"">spin</a>. So the total number of states in each zone is twice the number of ions in the lattice. This means that if the metal has only one electron per atom contributing to conduction, the electrons in the metal will only occupy all the states in the lower half of the zone &mdash; the shaded area in figure (2). No more than one electron can occupy any single state. This restriction on state occupation arises because electrons are <i>fermions</i> and therefore obey <i>Fermi-Dirac statistics</i> . For such a monovalent metal the energy distribution is virtually the same on the basis of either the free electron or band theory models, because the electrons have not started filling states beyond the first forbidden zone.
<br>When the material has an even number of electrons per atom there would be an occupation of an integral number of zones. If an electric field were to be applied within the material, there would be a shift in the distribution of electron momenta that could only occur if and only if the zones are at close energy proximity. The electrons at the top of the uppermost filled zone can then obtain enough extra energy (e.g. from thermal excitations) to jump over the forbidden energy gap so that they can occupy permitted energy states at the bottom of the next zone. If this energy is very high compared with thermal energies, excitations to the next band cannot occur and there will be no current. The material would be classed as an <a href=""entry://insulator"">insulator</a>.
<br>If the energy gap is not too large, a few electrons can absorb enough thermal energy to cross the forbidden energy gap. At room temperature thermal excitations are sufficiently large to breach this gap and to enable a small current to flow. Because the amount of excitation will increase with temperature, the conductivity will also increase with temperature. This behaviour is typical of a <a href=""entry://semiconductor"">semiconductor</a>.
<br>Finally, elements with an odd number of electrons per atom are normally electrical conductors. This is because there are always unfilled states available within a given half-filled band. The electron momentum distribution within a band always looks like a small section of the free electron model for that particular extended zone"
