e	and
reanimar-nos	revive us
reanimar	revive
reanimados	reanimated
reanima-nos	revive us
reanima-me	revive me
realizei-a	I accomplished it
realizássemos	we would carry out
realizariam	would carry out
realizaria	would perform
realizarem-se	to be carried out
realizaram-se	were carried out
realizar-me	fulfill myself
realizações 	achievements 
realizá-los	carry them out
realidade 	reality 
realce	highlight
realçarem	highlight
realçam	highlight
realça	highlights
reajas	react
reagruparem-se	regroup
reagruparam-se	regrouped
reages	reacts
reagem	react
reafirmemos	let us reaffirm
readquiri	reacquired
reacenda	rekindle
reabre	reopens
reabilitará	will rehabilitate
reabilitada	rehabilitated
reabastecendo-as	replenishing them
ré	re
ravina	ravine
ratoeiras	mousetraps
ratificou	ratified
ratificaram-no	ratified it
rastros	traces
rastelos	rakes
rastelo	rake
rastejou	crawled
rastejarás	you will crawl
rastejarão	will crawl
rastejando	crawling
rastejai	crawl
rasteiro	crawling
raspassem	shaved
rasparei	I will shave
rasparam	scraped
raspar-se	to shave
raspagem	scraping
rasgueis	you tear
rasgou-os	tore them
rasgou-o	tore it
rasgou-me	tore me apart
rasgou-as	tore them
rasgavas	you tore
rasgavam-me	they tore me apart
rasgava-a	I tore it up
rasgaste-lhe	you tore it
rasgarem-se	tear themselves apart
rasgareis	you will tear
rasgando-lhe	tearing it apart
rasgai	tear
rasga-me	tear me apart
rasgá-la	tear it
raramente	rarely
raquíticas	rickety
raptaram	kidnapped
rapou-os	shaved them
rapava	shaved
rapassem	shaved
raparei	I shaved
rapar-te-á	will shave you
rapadura	brown sugar
rapados	shaved
rapaces	rapacious
rapá-lo	shave it
rancorosos	spiteful
rancoroso	spiteful
rancorosas	spiteful
ramalhudas	branchy
ralhar	scold
ralé	rabble
ralar	grate
rajarão	will raja
rajadas	bursts
raivosamente	angrily
raiasse	dawned
raiando	dawning
radicarem	take root
radicalmente	radically
radicados	rooted
racionamento	rationing
racionado	rationed
raciona	rations
raciocinando	reasoning
racimo	cluster
rachando-lhe	cracking it
racham	crack
rachaduras	cracks
raca	race
rabugenta	grumpy
rabiscava	scribbled
rabiscaste	you scribbled
rabiscarão	will scribble
rabiscam	scribble
rabi	rabbi
quotidiana	daily
quitará	will pay off
quitar	pay off
quitado	paid off
quitadas	paid off
quitação	discharge
quitá-lo-ás	you will pay it off
quisto	cyst
quiserem 	want 
quilate	carat
quietação	quietness
questionou	questioned
questionei	I questioned
questione	question
questionarem	question
questionando	questioning
questionam-me	they question me
questionadores	questioners
questionado	questioned
querubins 	cherubs 
quero-o	I want it
quereríeis	you would like
quererei	I will want
querer-lhe	want you
querendo-vos	wanting you
querem-me	they want me
quer-lhes	want them
quentura	heat
quentíssimos	very hot
quenizes	kenizes
queneus 	Kenites 
queixava-se	complained
queixaste	you complained
queixarmos	complain
queixarei	I will complain
queixado	complained
queimei-o	I burned it
queime-o	burn it
queime-as	burn them
queime-a	burn it
queimar-te-ão	they will burn you
queimando-lhes	burning them
queimamos	we burn
queimada 	burned 
queimadas 	burned 
queima-os	burn them
queimá-lo-á	will burn it
queimá-la-ás	you will burn it
queimá-la-ão	they will burn it
quedava-se	remained
quebrou-o	broke it
quebremos	let's break
quebrei-o	I broke it
quebrei-a	I broke it
quebre-se	break it
quebre-lhe	break it
quebravam	broke
quebrastes	you broke
quebrássemos	we broke
quebrar-lhe-ei	I will break it
quebrar-lhe-ás	you will break it
quebrantoso	broken
quebrantava	broke
quebrantarás	you will break
quebrantarão	will break
quebrantando-me	breaking me
quebrantadas	broken
quebrantá-lo	break it
quebrando-o	breaking it
quebram-se	break
quebrais	you break
quebraduras	breaks
quebra-se	breaks
quebrá-lo-eis	you will break it
quebrá-las	break them
quebrá-la	break it
quartoze	fourteen
quartel-general	headquarters
quarteirões	blocks
quarentenas	quarantines
qualifiquei-o	I qualified it
qualificou	qualified
qualificar	qualify
qualificadas	qualified
qualificada	qualified
qualificação	qualification
quádruplo	quadruple
quadriculada	checkered
quadrantes	quadrants
puxava	pulled
puxasse	pulled
puxas	pulls
puxarei	I will pull
puxará	will pull
puxar-me	pull me
puxando-o	pulling it
puxá-lo	pull it
pústulas	pustules
pusésseis	you put
puserdes	you put
puseram-lhes	put them
pus-te	I put you
purpúrea	purple
purifiques	purify
purifica 	purifies 
purificar-te-ei	I will purify you
purificar-se-ão	will purify themselves
purificar-se-á	will be purified
purificando-vos	purifying yourselves
purifica-o	purify it
purificá-los-ás	you will purify them
punita	punish
puniria	would punish
punirás	you will punish
punidas	punished
puni-lo	punish him
puni-la	punish her
puni	punish
punham-no	put it
punem	punish
pune	punishes
pulsava	pulsated
pulsará	will pulse
pulos	jumps
pulgões	aphids
pulavas	you jumped
pularás	you will jump
pujante	powerful
pujança	strength
puíta	puite
publicaste	you published
publicasse	published
publicai-os	publish them
publicai	publish
publica-o	publish it
puberdade	puberty
pu-lo	put it
pseudo-sabedoria	pseudo-wisdom
pseudo-apóstolos	pseudo-apostles
prurido	itching
proximidade	proximity
provou-se	it was proven
provocavam	provoked
provocardes	provoke
provocar-vos-ei	I will provoke you
provinham	came from
províncias 	provinces 
providenciava	provided
providenciamos	we provide
providencial	providential
providenciai	provide
proveu-os	provided them
proveste-me	you proved to me
proveres	provide
provereis	you will provide
proverão	will provide
prover-me	provide me
provemo-los	we prove them
provem-se	prove it
proveja	provide
proveitos	profits
provássemos	we tried
provarmos	we prove
provarias	you would taste
provaria	would prove
provares	prove
provaremos	we will prove
provar-te-ei	I will prove to you
provar-te	prove you
provar-se	prove yourself
provamos	we proved
provai-me	test me
provador	taster
prova-se	prove it
prova-o	prove it
prová-la	prove it
protestassem	protested
protestam	protest
protestado	protested
protesta-lhe	protests to him
protelei	I delayed
protejem	protect
protejam-se	protect yourselves
proteja-me	protect me
proteja-a	protect her
protegeu-me	protected me
protegessem	protect
proteges-me	you protect me
protegeremos	we will protect
protegerem-nas	protect them
proteger-vos-emos	we will protect you
proteger-vos	protect you
proteger-nos	protect us
proteger-me	protect me
protegendo-as	protecting them
protegendo-a	protecting her
protegê-las	protect them
protegê-la-á	will protect her
prostres	prostrate
prostreis	prostrate
prostrassem	prostrate themselves
prostras	prostrate
prostrares	prostrate
prostrarem-se	prostrate themselves
prostrar-se-á	will prostrate himself
prostrando	prostrating
prostra-te	prostrate yourself
prostituísse	prostituted
prostituira	prostituted
prostituídos	prostituted
prostituías	you prostituted
prostituíam	prostituted
prostituía	prostituted
prostituamos	let us prostitute
prostíbulos	brothels
prostaram-se	prostrated themselves
prostando-se	prostrating oneself
prosseguisse	proceed
prosseguirem	continue
prosseguirão	will continue
prosperasse	prospered
prosperarmos	prosper
prosperarei	I will prosper
prosperais	prosperous
prosperados	prospered
proscritos	outcasts
prorrompeu	broke out
propuserem	propose
propuser	propose
propriedade 	property 
propósito 	purpose 
propôs-se	proposed
propôs-me	proposed to me
proporcione	provide
proporcionava	provided
proporcionasse	provided
proporcionais	proportional
propor-vos	propose to you
propor-te	propose to you
propor-me	propose to me
propondes	propose
propocional	proportional
propinas	bribes
propiciada	provided
propiciações	propitiations
propensos	prone
propalar	to spread
propalando	propagating
propagava	propagated
propagarão	will propagate
propagadores	propagators
pronuncio	pronounce
pronunciardes	pronounce
pronunciara	had pronounced
pronunciar-se	pronounce
pronunciando-se	pronouncing
prontifiquem	get ready
prontificaram	were ready
pronomes	pronouns
promulgue	promulgate
promulgaste	you promulgated
promulgai	promulgate
promoveu-os	promoted them
promoverdes	promote
promoverá	will promote
promovendo-o	promoting it
promoção	promotion
promissória	promissory
promissores	promising
prometia	promised
prometi-lhe	I promised you
prometeu-o	promised it
prometestes	you promised
prometeste-me	you promised me
prometes-nos	you promise us
prometerá	will promise
prometas	promises
prometamos	let us promise
prometa-me	promise me
prolongavam-se	were prolonged
prolongava	prolonged
prolongasse	prolonged
prolongarem	prolong
prolongarás	you will prolong
prolongar-lhe	extend it
proliferem	proliferate
proliferaram	proliferated
proliferar	proliferate
projetista	designer
projetavam	designed
projetas	projects
projetarão	will design
projetará	will design
projetando	designing
projetado	designed
projeção	projection
proíbo	I forbid
proibiu-os	banned them
proibirá	will prohibit
proibindo-nos	forbidding us
proibi-la	prohibit it
proíba-os	ban them
progridem	progress
progressivamente	progressively
progressiva	progressive
progrediu	progressed
progredirdes	progress
progrediram	progressed
progredido	progressed
programado	programmed
progenitor	parent
profusos	profuse
profundo 	deep 
profissionais 	professionals 
profetizávamos	we prophesied
profetizásseis	you prophesied
profetizares	prophesy
profetizai-nos	prophesy to us
profetizai	prophesy
profetizados	prophesied
profeticamente	prophetically
profeta 	prophet 
professando-a	professing it
proferira	had uttered
proferidos	uttered
proferidor	speaker
profanidade	profanity
profanaste-lhe	you desecrated it
profanara	desecrated
profanar-se	to desecrate oneself
profanadores	desecrators
profanador	desecrator
profaná-los	desecrate them
proeminência	prominence
produziste	you produced
produziria	would produce
produzirei	I will produce
produza-se	produce
produtores	producers
produtivas	productive
prodigamente	lavishly
procuro-o	I'm looking for him
procurei-os	I looked for them
procure-os	look for them
procuravas	you were looking for
procuravam-nos	were looking for us
procurava-o	I was looking for him
procurara	had looked for
procurar-se	look for yourself
procurar-me-eis	you will look for me
procuram-no	they look for him
proclamou-se	proclaimed himself
proclamem-na	proclaim it
proclamaria	would proclaim
proclamardes	proclaim
proclamar-lhes	proclaim to them
proclamando-se	proclaiming itself
proclamai-o	proclaim it
processaram	processed
processados	processed
processá-lo	process it
procelosos	stormy
procela	storm
procedia	proceeded
procederemos	we will proceed
procederás	you will proceed
procedeis	you proceed
probabilidades	probabilities
privou-te	deprived you
privo	private
privilegiado	privileged
privilegia	privileges
priveis	privies
privarem	deprive
privarão	will deprive
privaram	deprived
privará	will deprive
privar-me	deprive me
privando-a	depriving her
privação	deprivation
privá-la	deprive her
prioritariamente	primarily
principiou	started
principiastes	you began
principiante	beginner
principiando	starting
principescos	princely
primorosamente	exquisitely
primogenituras	primogenitures
primípara	primiparous
primas	cousins
primários	primary
primado	primacy
prezeis	prizes
previstas	expected
previr	foresee
previno	I prevent
previnam-se	be careful
previam	predicted
prévia	preview
preveniram	prevented
prevenirá	will prevent
prevenir-se	prevent yourself
prevenindo-os	preventing them
prevenindo	preventing
preveem	foresee
prevaricou	prevaricated
prevaricamos	we prevaricate
prevaricador	prevaricator
prevarica	prevaricate
prevalecendo-se	prevailing
prevaleças	prevail
pretextando	pretexting
preterida	overlooked
pretensas	pretended
pretendidas	intended
pretendi	I intended
pretendermos	we intend
pretenderes	intend
pretenderá	will intend
presunções	presumptions
presumiu	assumed
presumir-se-á	it will be assumed
presumidas	presumed
presumas	assume
prestigioso	prestigious
prestemos-lhe	let us give it to you
prestavelmente	helpfully
prestarmos	we provide
prestaram-lhes	provided them
prestara	had provided
prestando-se	lending itself
prestando-lhe	providing you
prestadas	provided
pressuponham	assume
pressionou	pressed
pressionava	pressed
pressionaram	pressed
pressionar	press
pressionam-me	pressure me
pressionam	press
pressioná-los	press them
presilha	clip
presidiu	presided over
presidindo-lhes	presiding over them
presidindo	presiding
preservou-me	preserved me
preservem-no	preserve it
preservasses	preserved
preservarem	preserve
preservardes	preserve
preservarás	you will preserve
preservar-nos	preserve us
preservadas	preserved
preserva-o	preserve it
preservá-lo-ão	will preserve it
preservá-lo-á	will preserve it
preservá-lo	preserve it
preservá-la-á	will preserve it
presentes 	gifts 
presenteou-me	gave me a gift
presenteiam	present
presenteará	will present
presenteando	gifting
presenciava	witnessed
presenciarás	you will witness
presenciando	witnessing
prescrevera	had prescribed
prescrever	prescribe
prescrevemos	we prescribe
preposto	agent
preparou-o	prepared it
preparou-lhe	prepared for him
preparemo-nos	let's get ready
prepare-o	prepare it
preparastes	you prepared
preparaste-te	you prepared yourself
preparasses	prepare
prepararem-se	get ready
prepararam-na	prepared it
preparar-lhes-ei	I will prepare for them
preparar-	prepare-
preparando-vos	preparing yourselves
preparai-vos	prepare yourselves
preparai-nos	prepare us
preparado 	prepared 
preparações	preparations
prepara-os	prepare them
prepara-lhes	prepare them
prepará-la-ás	you will prepare it
preocupo-me	I worry
preocupei	I worried
preocupavam	worried
preocupassem	worried
preocupas	you worry
preocuparmos	worry
preocuparemos	we will worry
preocupardes	worry
preocupantes	worrying
preocupando	worrying
preocupamos	we care
prenúncio	harbinger
prenunciados	foretold
prensarem	press
prensaram	pressed
prendiam-se	were tied
prendeu-se-lhes	stuck to them
prendeu-se-lhe	stuck to him
prendeste	you arrested
prenderam-lhe	they arrested him
prender-vos-ão	they will arrest you
prender-se-á	will be arrested
prender-nos	arrest us
prendendo-os	arresting them
prendendo-lhes	arresting them
prendendo-as	arresting them
prendem-se	are arrested
prende-se	holds
prende-o	arrest him
prendê-la	arrest her
prende-a	arrest her
prendamo-lo	let's arrest him
prendais	gifts
prenda-o	arrest him
premissa	premise
premidos	pressed
premiados	awarded
premeditando	premeditating
premeditadamente	premeditatedly
prematuros	premature
preliminar	preliminary
prejudicassem	harm
