ve	And
ruhlarıdırlar	They are souls
ruhlarıdır	are their souls
ruhanîsiniz	You are spiritual
ruhanîlere	to the clergy
ruhanîdir	It is spiritual
ruhanîce	Spiritually
ruhamayı	spirit
roida	Roida
rogele	Rogle
rogel	Rogel
rişatayimi	Rishatayimi
riyasızdır	is hypocritical
riyasına	to his hypocrisy
riyasetleri	presidencies
riyasetler	Presidencies
riyasetin	presidency
riya	hypocrisy
rivayeti	Narrated
risaletimin	My message
risaleti	The message
risalet	prophethood
rimmonda	in rimmond
ricasını	his request
ricası	request
ricanı	Your request
ricamızı	Our request
ricam	My request
reziller	the scoundrels
reze	hinge
reyine	vote
reyinde	in your vote
reyin	game
reyimiz	our vote
reyimi	My vote
reyime	to my opinion
reyim	My vote
reyde	vote
resulüyüm	I am the messenger
resulünün	The Messenger of Allah
resulün	The Messenger of Allah
resulüm	My Messenger
resulleriniz	Your messengers
resullerine	to the messengers
resmî	official
resmini	your picture
resalette	in resal
rençberlerle	with farmers
rençber	farmer
renkte	in color
renklerde	in colors
renkle	with color
rendelerle	with graters
remzimi	symbol
remzi	symbol
remz	Remz
remiz	symbol
rekabetle	with competition
reistiler	Chiefs
reissiz	headless
reisliğinin	of the headship
reisliğini	the headship
reislikler	Chiefdoms
reislerinizin	your leaders
reisleriniz	Your leaders
reislerindendi	He was one of the leaders
reislerimizin	our leaders
reislerdi	They were the chiefs
reisle	with the chief
reisiniz	your boss
reisinden	from the chief
reisile	with the chief
rehokim	Rehokim
rehinlerle	with hostages
rehineleri	hostages
rehberlik	guidance
rehavetinden	from complacency
refahımda	in my well-being
refahı	welfare
refaha	to prosperity
refah	welfare
reddolunup	rejected
reddolunmuşlardır	They were rejected
reddolunmuş	rejected
reddolunmamalıdır	should not be rejected
reddolunmak	be rejected
reddolundu	rejected
reddettiğinize	you rejected
reddettiğim	I rejected
reddetmiyeceğim	I won't refuse
reddetmeyecek	will not refuse
reddetmesin	do not reject
reddetmemişim	I did not reject
reddetmemeye	not to reject
reddetmediniz	You did not reject
reddetmedi	did not refuse
reddediyorsun	You reject
reddediyorlar	They reject
reddediyor	rejects
reddedince	when he refused
reddedilmemeli	should not be rejected
reddedilmemek	not to be rejected
reddedilen	rejected
reddedesin	You reject
reddedersiniz	You reject
reddedersin	You reject
reddederseniz	if you refuse
reddederse	if he refuses
reddedense	if he rejects
reddedenlerin	those who reject
reddedenler	Those who reject
reddedene	to the rejector
reddedeceksiniz	You will reject
reddedeceksin	You will reject
reddedecek	will reject
rebap	Rebab
rağbet	demand
razıydık	We agreed
rayihayız	We are fragrant
rayihasını	its fragrance
rayihalı	fragrance
rastlıyacaksın	You will come across
rastlasın	May it come true
rastlarsanız	If you come across
rastlarsan	If you come across
rastlantıyla	by chance
rastlanmaz	Uncommon
rastlanmayan	Uncommon
rastlanan	Common
rastlamıştı	had come across
rastladım	I came across
rastladılar	They came across
rastladıkları	they came across
rastgelenlerle	with random people
rastgelecektir	It will be random
rastgelecek	will be random
rastgeldi	random
rampalarına	to the ramps
rampalarla	with ramps
rakıslarda	in the races
raksetmeğe	to dance
raksediyordu	was dancing
raksederken	while dancing
raksedenlerden	from the dancing ones
raksa	dance
raks	dance
rakipleri	rivals
rakamın	your number
rakam	figure
rahîm	uterus
rahmetlerle	With mercy
rahmetlerine	May their mercy be upon you
rahmetlerinden	from their mercy
rahmetlerin	Your mercy
rahmet	mercy
rahimlerinin	their wombs
rahimlerin	wombs
rahimleri	wombs
rahimler	wombs
rahatın	your comfort
rahatımız	Our comfort
rahattırlar	They are comfortable
rahattır	It is comfortable
rahattı	It was comfortable
rahattalar	They are comfortable
rahatsızım	I'm uncomfortable
rahatsızlığından	from his illness
rahatsızdı	was uncomfortable
rahatlayıp	relax
rahatlatırsın	You relax
rahatlatır	It relaxes
rahatlatsın	Let it relax
rahatlatacak	will relax
rahatları	their comfort
rahatlarsın	You relax
rahatlardım	I would relax
rahatlandır	relax
rahatlamalıyım	I should relax
rahatladığını	relaxed
rahatla	relax
rahatken	while relaxed
rafanın	the shelf
rabbim	My Lord
rab	the Lord
pıtrak	croak
pırıltısından	from the sparkle
pırıldamakta	sparkling
pırtık	tattered
pırasaları	leeks
pınarına	to the spring
pınarlarının	of the springs
pınarlarından	from the springs
pınarların	of springs
pınarlarım	My springs
pınarlara	to the springs
pınardır	It is a spring
püskürüyordu	was spraying
püskürtüp	sprayed
püskürtüldü	Sprayed
püskürttük	We sprayed
püskürtenler	Sprayers
püskürteceğiz	We will spray
püskürtebilir	can spray
püsküreceğim	I will spray
püsküreceksin	You will spray
püskürdü	erupted
püskülün	tassel
püsküllerini	tassels
püskülleri	tassels
püskü	tattered
pâk	pure
putunuzu	your idol
putum	My idol
putperestliklerde	in idolatry
putperestlikle	with idolatry
putperestlerin	idolaters
putperestlerile	with the idolaters
putperestlere	to the idolaters
putlarında	in their idols
putlardı	They were idols
puthanede	in the idolatry
pusunun	ambush
pusularına	into their ambush
pusuları	ambushes
pusudur	ambush
pusudakiler	lurkers
pusludur	It is hazy
pusa	pus
pulunu	stamp
pulu	stamp
pullarıdır	are stamps
pulcuklar	Flakes
pufluyorsunuz	You are puffing
prenslerine	to their princes
prenslerdi	They were princes
prensesleri	Princesses
prasaları	leeks
prangaya	shackled
potaya	to the basket
pota	pot
postuna	to your skin
postu	hide
postları	their skins
porsuğunu	badger
porsuğu	badger
porsumuşlardır	They are badgers
porsukları	Badgers
pohpohlayıcı	flattering
pohpohlayan	flattering
pohpohlarlar	They flatter
plasentayı	placenta
planı	plan
planlarını	plans
planları	plans
plana	to plan
pişmanım	I regret it
pişmandı	He was regretful
pişirmene	to cook
pişirme	cooking
pişiriyordu	was cooking
pişirirken	while cooking
pişirilmiyecek	will not be cooked
pişirilmemeli	should not be cooked
pişirilip	cooked
pişirilecektir	will be cooked
pişirilecek	to be cooked
pişireceğinizi	what you will cook
pişirecek	will cook
pişirdikten	after cooking
pişirdik	We cooked
pişen	Cooked
piyadedir	is an infantry
piyade	infantry
pisliğiyle	with its filth
pisliğini	your filth
pisliğinden	from the filth
pisliğile	with filth
pisliklerinden	from their filth
pislikleri	their filth
pisliklerden	from filth
pislikler	shits
pisin	dirty
pirenin	flea
pire	Piraeus
piliçlerini	their chickens
pileseri	pleated
pilesere	pleated
pileser	pleat
pideyle	with pita
pideye	pita bread
pidem	pita
pideleriyle	with pita bread
pidelerini	pita bread
pidelerile	with pitas
pidedir	It is pita
pidede	in pita
peşkiri	Towel
peşisıra	one after another
peşinizde	after you
peşindesiniz	You are after
peşime	Follow me
peçesile	with veil
peçemi	My veil
peynir	cheese
peyi	Pay
peygamberse	if he is a prophet
peygamberliğinin	Prophethood
peygamberliğinde	in his prophethood
peygamberliğimiz	Our Prophethood
peygamberliğim	My prophethood
peygamberliğile	with prophethood
peygamberlikleri	prophecies
peygamberlikle	prophetically
peygamberlerse	Prophets
peygamberlerinizin	your prophets
peygamberlerinize	to your prophets
peygamberlerimizin	Our prophets
peygamberlerimiz	Our Prophets
peygamberlerime	to my prophets
peygamberlerile	with the prophets
peygamberleridirler	They are prophets
peygamberdim	I was a prophet
pestillerini	their fruit pulp
pestillerine	to their fruit pulps
pestilleri	fruit pulps
pestiliyle	with its pulp
perçeminden	from the forelock
pervazlarının	of the sills
pervasızca	recklessly
perişanlığımı	My misery
perişanlığa	to devastation
perişandılar	They were devastated
perhiz	diet
pergelle	with compass
peretsten	Peretsten
peretste	Peretste
perdelerinin	your curtains
perdedir	It is a curtain
peorun	Peorun
peordan	from peor
pençesine	in his claws
pençesi	claw
pençelerini	claws
pençelerinden	from your claws
pençelerile	with claws
pençeleri	claws
penceresinden	from the window
penceresinde	in the window
pencerelerini	your windows
pencerelerin	windows
pembe	pink
pelteklerin	lisps
pelinsuyu	wormwood
peline	Pelin
pelette	in pellets
pelet	pellet
pelesenkleri	Rosewood
pelesenkim	I am a pelesenkim
pelerinleri	Cloaks
pelerinle	with a cloak
pekçe	very much
pekmeze	molasses
pekiştirmiyerek	without reinforcing
pekiştirmeye	to reinforce
pekiştirmemiş	not reinforced
pekiştirmekle	by reinforcing
pekiştirmediniz	You did not reinforce
pekiştirmediler	They did not reinforce
pekiştirmedi	did not reinforce
pekiştirirler	They reinforce
pekiştirilse	if reinforced
pekiştirilmişseniz	if you are reinforced
pekiştirilmez	not reinforced
pekiştirilecektir	will be reinforced
pekiştirildim	I was reinforced
pekiştirildi	reinforced
pekiştireyim	Let me reinforce
pekiştiresin	reinforce it
pekiştirene	reinforcer
pekiştiremediler	They could not reinforce
pekiştireceksin	You will reinforce
pekiştirdiğinde	when reinforced
pekiştirdiği	reinforced
pekişti	strengthened
pekişmişlerdir	They have been strengthened
pekişmiş	solidified
pekişmeniz	your reinforcement
pekişip	consolidate
pekişince	when it gets stronger
pekişecektir	will be strengthened
pekişeceksin	You will become stronger
peki	Alright
pehlivanlarının	wrestlers
paçavraya	rag
paçavraları	rags
paçavralar	rags
pazıyı	chard
pazıbentleri	armlets
pazarların	markets
pazardan	from the market
pazar	Sunday
payınızı	your share
payınızla	with your share
payımıza	our share
paylaşıyoruz	We share
paylaşırız	We share
paylaşırdı	would share
paylaşıp	share
paylaştığınız	you shared
paylaştığını	what you shared
paylaştırılacak	to be shared
paylaştırması	distribution
paylaştırdığınız	you share
paylaştırasın	share it
paylaştıracağınız	you will share
paylaştıracaksınız	You will share
paylaştıracak	will share
paylaştıkları	they shared
paylaşmış	shared
paylaşmağı	to share
paylaşmaz	does not share
paylaşmayı	to share
paylaşmayacak	will not share
paylaşmasını	to share
paylaşmadımsa	If I didn't share
paylaşmadılar	They did not share
paylaşayım	Let me share
paylaşarak	by sharing
paylaşanların	those who share
paylaşabilecek	can share
paylayan	Sharing
paylayamayacaksın	You won't be able to share
paylarından	from their shares
paylara	to shares
paylamalarla	with sharing
paydır	share
paydaşım	my share
paydaşı	Shareholder
paydaşlığınız	your partnership
paydaşlığımızın	our partnership
paydaşlıkta	in fellowship
paydaşlık	fellowship
payda	denominator
patırtısını	the noise
patlamak	explode
pastaları	cakes
pastalar	cakes
parıltısıyla	with its shine
parıltının	the shine
parıldıyorsun	You are shining
parıldıyordu	was shining
parıldıyan	sparkling
parıldayacak	will shine
parıldatmaktadır	It shines
parıldar	shines
parçaydı	It was a piece
parçasından	from the piece
parçasına	to the piece
parçalıyorlar	They are tearing apart
parçalıyordu	was tearing apart
parçalıyacağım	I will tear it apart
parçalıyacaklar	They will tear it apart
parçalayayım	Let me break it into pieces
parçalayarak	by breaking into pieces
parçalayacaktır	will tear to pieces
parçalayacaksınız	You will tear it apart
parçalayacaksın	You will tear it apart
parçalayabilirler	They can break into pieces
parçalattı	He tore it apart
parçaların	of parts
parçalarım	my pieces
parçalanmışı	torn apart
parçalanmıştır	It is broken into pieces
parçalanmalıdır	must be broken into pieces
parçalandığı	shattered into pieces
parçalanacaktır	will be torn apart
parçalanacaktı	would be torn apart
parçalanacaksınız	You will be torn apart
parçalanacaklar	They will be torn apart
parçalamamıştı	had not broken into pieces
parçalamak	shred
parçaladığın	you tore apart
parçaladın	You tore it apart
parçaladıktan	After breaking into pieces
parçala	break into pieces
partisinin	his party
parmağınızı	your finger
parmağınızla	with your finger
parmağımı	my finger
parmağımla	with my finger
parmağıdır	is his finger
parmaktır	finger
parmaklıkların	the bars
parmaklarıyla	with his fingers
parmaklarınız	your fingers
parmaklarımdan	from my fingers
parmaklarıma	to my fingers
parlıyorlardı	They were shining
parlıyorlar	They shine
parlıyan	shining
parlıyacaktır	will shine
parlıyacaklardır	They will shine
parlıyacaklar	They will shine
parlayıncaya	until it shines
parlatan	brightening
parlamıyacaktır	will not shine
parlamasın	Don't shine
parlamaktadır	is shining
parlamak	shine
parlaklığın	your brightness
parlaklık	brightness
parladığınız	you shine
parladığı	shines
parladın	You shined
parladılar	They shone
parla	shine
parklar	parks
parasıyla	with his money
parasının	his money
parasal	monetary
paranız	your money
paranla	with your money
parana	your money
paran	your money
paramızı	our money
paramla	with my money
paralıyorsun	You are tearing apart
paralıyor	It's tearing apart
paralıyan	Paralyzed
paralı	mercenary
paralayıp	tearing apart
paralayın	tear it apart
paralayacaksın	You will break it
paralarsa	if they are money
paralardı	They were money
paralamış	torn apart
paralamaktasın	You are tearing apart
parala	with money
paradan	from money
paniğe	panic
palayla	with a machete
palaya	to the pala
palanlı	Palanli
palamut	bonito
paklıyorum	I'm cleaning
paklıkta	in purity
paklayın	Cleanse
paklasınlar	Let them clean it
paklar	Cleans
paklanayım	Let me be clean
paklanamaz	cannot be cleaned
paklamış	Cleaned
paklamak	clean
pahayı	the price
pahasını	at its cost
pahasıdır	It is expensive
pahalıya	dearly
pahalıdır	It is expensive
oğütlerinden	from his advice
oğulunu	your son
oğulsun	You are a son
oğulluğa	to sonship
oğullarıyız	We are their sons
oğullarıysa	their sons
oğullarınızdan	from your sons
oğullarınınkinden	from his sons
oğullarınındı	It was their son's
oğullarındandılar	They were from the sons
oğullarımızındır	belongs to our sons
oğullarımızın	our sons
oğullarımın	my sons
oğullarımı	my sons
oğullarımdır	They are my sons
oğullarımdan	from my sons
oğullarıma	to my sons
oğullarda	in sons
oğluysa	his son
oğluydum	I was his son
