the	ðiː	t-h-ē	ㄘㄧ	該
ahiah	ahiah	a-h-ē-a-h	ㄚㄏㄧㄚㄏ	亞希亞
ashdodites	ashdodites	a-s-h-d-o-d-ē-t-e-s	ㄚㄙㄏㄉㄛㄉㄧㄉㄝㄙ	亞實突
adaiah	adaiah	a-d-a-ē-a-h	ㄚㄉㄞㄚㄏ	亞大雅
ataroth	ataroth	a-t-a-r-o-t-h	ㄚㄉㄚㄖㄛㄉㄏ	亞大錄
archelaus	archelaus	a-r-c-h-e-l-a-ū-s	ㄚㄖㄕㄏㄝㄌㄠㄙ	亞基老
archippus	archippus	a-r-c-h-ē-p-p-ū-s	ㄚㄖㄕㄏㄧㄅㄅㄨㄙ	亞基布
ahaziah	ahaziah	a-h-a-z-ē-a-h	ㄚㄏㄚㄗㄧㄚㄏ	亞哈謝
ahaz	ahaz	a-h-a-z	ㄚㄏㄚㄗ	亞哈斯
araunah	araunah	a-r-a-ū-n-a-h	ㄚㄖㄠㄋㄚㄏ	亞勞拿
arieh	arieh	a-r-ē-e-h	ㄚㄖㄧㄝㄏ	亞利耶
abram	abram	a-b-r-a-m	ㄚㄅㄖㄚㄇ	亞伯蘭
pentecost	ˈpɛntɪkɒst	p-é-n-t-i-k-o-s-t	ㄅㄜㄋㄉㄧㄍㄛㄙㄉ	五旬節
gozan	gozan	g-o-z-a-n	ㄍㄛㄗㄢ	五山送
fifty-five	ˈfɪfti-faɪv	f-i-f-t-ē-f-ī-v	ㄈㄧㄈㄉㄧ-ㄈㄚㄧㄈ	五十五
second-in-command	ˈsɛkənd-ɪn-kəˈmɑːnd	s-é-k-ə-n-d-i-n-k-ə-m-ä-n-d	ㄙㄜㄍㄣㄉ-ㄧㄋ-ㄍㄦㄇㄚㄋㄉ	二把手
twenty-four	ˈtwɛnti-fɔː	t-w-é-n-t-ē-f-ô	ㄉㄨㄜㄋㄉㄧ-ㄈㄛ	二十四
twenty-five	ˈtwɛnti-faɪv	t-w-é-n-t-ē-f-ī-v	ㄉㄨㄜㄋㄉㄧ-ㄈㄚㄧㄈ	二十五
twenty-two	ˈtwɛnti-tuː	t-w-é-n-t-ē-t-ū	ㄉㄨㄜㄋㄉㄧ-ㄉㄨ	二十二
twenty-nine	ˈtwɛnti-naɪn	t-w-é-n-t-ē-n-ī-n	ㄉㄨㄜㄋㄉㄧ-ㄋㄚㄧㄋ	二十九
twenty-three	ˈtwɛnti-θriː	t-w-é-n-t-ē-th-r-ē	ㄉㄨㄜㄋㄉㄧ-ㄊㄖㄧ	二十三
twenty-seven	ˈtwɛnti-ˈsɛvn	t-w-é-n-t-ē-s-é-v-n	ㄉㄨㄜㄋㄉㄧ-ㄙㄜㄈㄋ	二十七
twenty-one	ˈtwɛnti-wʌn	t-w-é-n-t-ē-w-u-n	ㄉㄨㄜㄋㄉㄧ-ㄨㄨㄋ	二十一
twenty-first	ˈtwɛnti-fɜːst	t-w-é-n-t-ē-f-û-s-t	ㄉㄨㄜㄋㄉㄧ-ㄈㄦㄙㄉ	二十一
terrific	təˈrɪfɪk	t-ə-r-i-f-i-k	ㄉㄦㄖㄧㄈㄧㄍ	了不起
overcharged	ˌəʊvəˈʧɑːʤd	ə-oo-v-ə-ch-ä-y-d	ㄦㄡㄈㄦㄓㄚㄓㄉ	亂收費
daniel	ˈdænjəl	d-a-n-y-ə-l	ㄉㄚㄋㄡㄦㄌ	丹尼爾
dan-jaan	dæn-jaan	d-a-n-y-aa-n	ㄉㄚㄋ-ㄡㄚㄢ	丹家安
separates	ˈsɛprɪts	s-é-p-r-i-t-s	ㄙㄜㄅㄖㄧㄗ	中隔離
mediator	ˈmiːdɪeɪtə	m-ē-d-i-ā-t-ə	ㄇㄧㄉㄧㄝㄧㄉㄦ	中間人
tunic	ˈtjuːnɪk	t-yü-n-i-k	ㄉㄡㄨㄋㄧㄍ	中山裝
diotrephes	diotrephes	d-ē-o-t-r-e-p-h-e-s	ㄉㄧㄛㄉㄖㄝㄅㄏㄝㄙ	丟特腓
discourage	dɪsˈkʌrɪʤ	d-i-s-k-u-r-i-y	ㄉㄧㄙㄍㄨㄖㄧㄓ	不鼓勵
unwanted	ʌnˈwɒntɪd	u-n-w-o-n-t-i-d	ㄨㄋㄨㄛㄋㄉㄧㄉ	不需要
unimportant	ˌʌnɪmˈpɒtənt	u-n-i-m-p-o-t-ə-n-t	ㄨㄋㄧㄇㄅㄛㄉㄣㄉ	不重要
unfit	ʌnˈfɪt	u-n-f-i-t	ㄨㄋㄈㄧㄉ	不適當
immoral	ɪˈmɒrəl	i-m-o-r-ə-l	ㄧㄇㄛㄖㄦㄌ	不道德
disapproval	ˌdɪsəˈpruːvəl	d-i-s-ə-p-r-ū-v-ə-l	ㄉㄧㄙㄦㄅㄖㄨㄈㄦㄌ	不贊成
dishonesty	dɪsˈɒnɪsti	d-i-s-o-n-i-s-t-ē	ㄉㄧㄙㄛㄋㄧㄙㄉㄧ	不誠實
dishonestly	dɪsˈɒnɪstli	d-i-s-o-n-i-s-t-l-ē	ㄉㄧㄙㄛㄋㄧㄙㄉㄌㄧ	不誠實
dishonest	dɪsˈɒnɪst	d-i-s-o-n-i-s-t	ㄉㄧㄙㄛㄋㄧㄙㄉ	不誠實
shameless	ˈʃeɪmlɪs	sh-ā-m-l-i-s	ㄕㄝㄧㄇㄌㄧㄙ	不要臉
discomfort	dɪsˈkʌmfət	d-i-s-k-u-m-f-ə-t	ㄉㄧㄙㄍㄨㄇㄈㄦㄉ	不舒服
impatient	ɪmˈpeɪʃənt	i-m-p-ā-sh-ə-n-t	ㄧㄇㄅㄝㄧㄕㄣㄉ	不耐煩
carelessly	ˈkeəlɪsli	k-ã-l-i-s-l-ē	ㄍㄝㄦㄌㄧㄙㄌㄧ	不經意
unstable	ʌnˈsteɪbl	u-n-s-t-ā-b-l	ㄨㄋㄙㄉㄝㄧㄅㄌ	不穩定
untrue	ʌnˈtruː	u-n-t-r-ū	ㄨㄋㄉㄖㄨ	不確實
uncertainty	ʌnˈsɜːtnti	u-n-s-û-t-n-t-ē	ㄨㄋㄙㄦㄉㄋㄉㄧ	不確定
uncertain	ʌnˈsɜːtn	u-n-s-û-t-n	ㄨㄋㄙㄦㄉㄋ	不確定
unaware	ˌʌnəˈweə	u-n-ə-w-ã	ㄨㄋㄦㄨㄝㄦ	不知道
reconciled	ˈrɛkənsaɪld	r-é-k-ə-n-s-ī-l-d	ㄖㄜㄍㄣㄙㄚㄧㄌㄉ	不甘心
unsatisfied	ʌnˈsætɪsfaɪd	u-n-s-a-t-i-s-f-ī-d	ㄨㄋㄙㄚㄉㄧㄙㄈㄚㄧㄉ	不滿意
disobedience	ˌdɪsəˈbiːdjəns	d-i-s-ə-b-ē-d-y-ə-n-s	ㄉㄧㄙㄦㄅㄧㄉㄡㄣㄙ	不服從
unsuccessful	ˌʌnsəkˈsɛsfʊl	u-n-s-ə-k-s-é-s-f-oo-l	ㄨㄋㄙㄦㄍㄙㄜㄙㄈㄡㄌ	不成功
displeasure	dɪsˈplɛʒə	d-i-s-p-l-é-zh-ə	ㄉㄧㄙㄅㄌㄜㄓㄦ	不愉快
unhappy	ʌnˈhæpi	u-n-h-a-p-ē	ㄨㄋㄏㄚㄅㄧ	不快樂
disloyal	ˌdɪsˈlɔɪəl	d-i-s-l-ô-ē-ə-l	ㄉㄧㄙㄌㄛㄧㄦㄌ	不忠的
disloyalty	ˌdɪsˈlɔɪəlti	d-i-s-l-ô-ē-ə-l-t-ē	ㄉㄧㄙㄌㄛㄧㄦㄌㄉㄧ	不忠實
unnecessary	ʌnˈnɛsɪsəri	u-n-n-é-s-i-s-ə-r-ē	ㄨㄋㄋㄜㄙㄧㄙㄦㄖㄧ	不必要
needless	ˈniːdlɪs	n-ē-d-l-i-s	ㄋㄧㄉㄌㄧㄙ	不必要
unafraid	ˌʌnəˈfreɪd	u-n-ə-f-r-ā-d	ㄨㄋㄦㄈㄖㄝㄧㄉ	不害怕
imperfectly	ɪmˈpɜːfɪktli	i-m-p-û-f-i-k-t-l-ē	ㄧㄇㄅㄦㄈㄧㄍㄉㄌㄧ	不完美
tuneless	ˈtjuːnlɪs	t-yü-n-l-i-s	ㄉㄡㄨㄋㄌㄧㄙ	不和諧
disagreeing	ˌdɪsəˈgriːɪŋ	d-i-s-ə-g-r-ē-i-ng	ㄉㄧㄙㄦㄍㄖㄧㄧㄥ	不同意
disagreed	ˌdɪsəˈgriːd	d-i-s-ə-g-r-ē-d	ㄉㄧㄙㄦㄍㄖㄧㄉ	不同意
disagree	ˌdɪsəˈgriː	d-i-s-ə-g-r-ē	ㄉㄧㄙㄦㄍㄖㄧ	不同意
unreasonable	ʌnˈriːznəbl	u-n-r-ē-z-n-ə-b-l	ㄨㄋㄖㄧㄗㄋㄦㄅㄌ	不合理
impossible	ɪmˈpɒsəbl	i-m-p-o-s-ə-b-l	ㄧㄇㄅㄛㄙㄦㄅㄌ	不可能
uncontrollable	ˌʌnkənˈtrəʊləbl	u-n-k-ə-n-t-r-ə-oo-l-ə-b-l	ㄨㄋㄍㄣㄉㄖㄦㄡㄌㄦㄅㄌ	不可控
unopposed	ˌʌnəˈpəʊzd	u-n-ə-p-ə-oo-z-d	ㄨㄋㄦㄅㄦㄡㄗㄉ	不反對
unfriendly	ʌnˈfrɛndli	u-n-f-r-é-n-d-l-ē	ㄨㄋㄈㄖㄜㄋㄉㄌㄧ	不友好
unmoved	ʌnˈmuːvd	u-n-m-ū-v-d	ㄨㄋㄇㄨㄈㄉ	不動搖
unjustly	ʌnˈʤʌstli	u-n-y-u-s-t-l-ē	ㄨㄋㄓㄨㄙㄉㄌㄧ	不公正
injustice	ɪnˈʤʌstɪs	i-n-y-u-s-t-i-s	ㄧㄋㄓㄨㄙㄉㄧㄙ	不公正
unfairly	ʌnˈfeəli	u-n-f-ã-l-ē	ㄨㄋㄈㄝㄦㄌㄧ	不公平
unfair	ʌnˈfeə	u-n-f-ã	ㄨㄋㄈㄝㄦ	不公平
unworthy	ʌnˈwɜːði	u-n-w-û-t-h-ē	ㄨㄋㄨㄦㄘㄧ	不值得
undeserving	ˌʌndɪˈzɜːvɪŋ	u-n-d-i-z-û-v-i-ng	ㄨㄋㄉㄧㄗㄦㄈㄧㄥ	不值得
scraps	skræps	s-k-r-a-p-s	ㄙㄍㄖㄚㄅㄙ	下腳料
enlarges	ɪnˈlɑːʤɪz	i-n-l-ä-y-i-z	ㄧㄋㄌㄚㄓㄧㄗ	下放大
next	nɛkst	n-é-k-s-t	ㄋㄜㄍㄙㄉ	下一個
zalmon	zalmon	z-a-l-m-o-n	ㄗㄚㄌㄇㄛㄋ	上撒們
context	ˈkɒntɛkst	k-o-n-t-é-k-s-t	ㄍㄛㄋㄉㄜㄍㄙㄉ	上下文
salmon	ˈsæmən	s-a-m-ə-n	ㄙㄚㄇㄣ	三文魚
three-year-old	θriː-jɪər-əʊld	th-r-ē-y-ē-ə-r-ə-oo-l-d	ㄊㄖㄧ-ㄡㄧㄦㄖ-ㄦㄡㄌㄉ	三十歲
thirty-four	ˈθɜːti-fɔː	th-û-t-ē-f-ô	ㄊㄦㄉㄧ-ㄈㄛ	三十四
thirty-two	ˈθɜːti-tuː	th-û-t-ē-t-ū	ㄊㄦㄉㄧ-ㄉㄨ	三十二
thirty-nine	ˈθɜːti-naɪn	th-û-t-ē-n-ī-n	ㄊㄦㄉㄧ-ㄋㄚㄧㄋ	三十九
thirty-three	ˈθɜːti-θriː	th-û-t-ē-th-r-ē	ㄊㄦㄉㄧ-ㄊㄖㄧ	三十三
thirty-seven	ˈθɜːti-ˈsɛvn	th-û-t-ē-s-é-v-n	ㄊㄦㄉㄧ-ㄙㄜㄈㄋ	三十七
thirty-one	ˈθɜːti-wʌn	th-û-t-ē-w-u-n	ㄊㄦㄉㄧ-ㄨㄨㄋ	三十一
lyre	ˈlaɪə	l-ī-ə	ㄌㄚㄧㄦ	七弦琴
seventy-five	ˈsɛvnti-faɪv	s-é-v-n-t-ē-f-ī-v	ㄙㄜㄈㄋㄉㄧ-ㄈㄚㄧㄈ	七十五
seventy-two	ˈsɛvnti-tuː	s-é-v-n-t-ē-t-ū	ㄙㄜㄈㄋㄉㄧ-ㄉㄨ	七十二
seventy-seven	ˈsɛvnti-ˈsɛvn	s-é-v-n-t-ē-s-é-v-n	ㄙㄜㄈㄋㄉㄧ-ㄙㄜㄈㄋ	七十七
thongs	θɒŋz	th-o-ng-z	ㄊㄛㄥㄗ	丁字褲
thong	θɒŋ	th-o-ng	ㄊㄛㄥ	丁字褲
portion	ˈpɔːʃən	p-ô-sh-ə-n	ㄅㄛㄕㄣ	一部分
yearlings	ˈjɪəlɪŋz	y-ē-ə-l-i-ng-z	ㄡㄧㄦㄌㄧㄥㄗ	一歲鴿
awhile	əˈwaɪl	ə-w-ī-l	ㄦㄨㄚㄧㄌ	一會兒
spank	spæŋk	s-p-a-ng-k	ㄙㄅㄚㄥㄍ	一巴掌
penny	ˈpɛni	p-é-n-ē	ㄅㄜㄋㄧ	一分錢
gear	gɪə	g-ē-ə	ㄍㄧㄦ	齒輪
fasts	fɑːsts	f-ä-s-t-s	ㄈㄚㄙㄗ	齋戒
unison	ˈjuːnɪzn	yü-n-i-z-n	ㄡㄨㄋㄧㄗㄋ	齊奏
snorting	ˈsnɔːtɪŋ	s-n-ô-t-i-ng	ㄙㄋㄛㄉㄧㄥ	鼻音
nose-ring	nəʊz-rɪŋ	n-ə-oo-z-r-i-ng	ㄋㄦㄡㄗ-ㄖㄧㄥ	鼻環
nostrils	ˈnɒstrɪlz	n-o-s-t-r-i-l-z	ㄋㄛㄙㄉㄖㄧㄌㄗ	鼻孔
noses	ˈnəʊzɪz	n-ə-oo-z-i-z	ㄋㄦㄡㄗㄧㄗ	鼻子
nose	nəʊz	n-ə-oo-z	ㄋㄦㄡㄗ	鼻子
snuffing	ˈsnʌfɪŋ	s-n-u-f-i-ng	ㄙㄋㄨㄈㄧㄥ	鼻吸
plague	pleɪg	p-l-ā-g	ㄅㄌㄝㄧㄍ	鼠疫
muster	ˈmʌstə	m-u-s-t-ə	ㄇㄨㄙㄉㄦ	鼓起
encourages	ɪnˈkʌrɪʤɪz	i-n-k-u-r-i-y-i-z	ㄧㄋㄍㄨㄖㄧㄓㄧㄗ	鼓勵
encouragement	ɪnˈkʌrɪʤmənt	i-n-k-u-r-i-y-m-ə-n-t	ㄧㄋㄍㄨㄖㄧㄓㄇㄣㄉ	鼓勵
encouraged	ɪnˈkʌrɪʤd	i-n-k-u-r-i-y-d	ㄧㄋㄍㄨㄖㄧㄓㄉ	鼓勵
encourage	ɪnˈkʌrɪʤ	i-n-k-u-r-i-y	ㄧㄋㄍㄨㄖㄧㄓ	鼓勵
mildew	ˈmɪldjuː	m-i-l-d-yü	ㄇㄧㄌㄉㄡㄨ	黴菌
nod	nɒd	n-o-d	ㄋㄛㄉ	點頭
kindled	ˈkɪndld	k-i-n-d-l-d	ㄍㄧㄋㄉㄌㄉ	點燃
kindle	ˈkɪndl	k-i-n-d-l	ㄍㄧㄋㄉㄌ	點燃
ignites	ɪgˈnaɪts	i-g-n-ī-t-s	ㄧㄍㄋㄚㄧㄗ	點燃
ignite	ɪgˈnaɪt	i-g-n-ī-t	ㄧㄍㄋㄚㄧㄉ	點燃
igniting	ɪgˈnaɪtɪŋ	i-g-n-ī-t-i-ng	ㄧㄍㄋㄚㄧㄉㄧㄥ	點火
hits	hɪts	h-i-t-s	ㄏㄧㄗ	點擊
illuminates	ɪˈljuːmɪneɪts	i-l-yü-m-i-n-ā-t-s	ㄧㄌㄡㄨㄇㄧㄋㄝㄧㄗ	點亮
dinah	dinah	d-ē-n-a-h	ㄉㄧㄋㄚㄏ	黛娜
silently	ˈsaɪləntli	s-ī-l-ə-n-t-l-ē	ㄙㄚㄧㄌㄣㄉㄌㄧ	默默
hermas	hermas	h-e-r-m-a-s	ㄏㄝㄖㄇㄚㄙ	黑馬
panthers	ˈpænθəz	p-a-n-th-ə-z	ㄅㄚㄋㄊㄦㄗ	黑豹
black	blæk	b-l-a-k	ㄅㄌㄚㄍ	黑色
helkath	helkath	h-e-l-k-a-t-h	ㄏㄝㄌㄍㄚㄉㄏ	黑甲
darkness	ˈdɑːknɪs	d-ä-k-n-i-s	ㄉㄚㄍㄋㄧㄙ	黑暗
darkened	ˈdɑːkənd	d-ä-k-ə-n-d	ㄉㄚㄍㄣㄉ	黑暗
dark	dɑːk	d-ä-k	ㄉㄚㄍ	黑暗
blackest	ˈblækɪst	b-l-a-k-i-s-t	ㄅㄌㄚㄍㄧㄙㄉ	黑暗
gangs	gæŋz	g-a-ng-z	ㄍㄚㄥㄗ	黑幫
dawns	dɔːnz	d-ô-n-z	ㄉㄛㄋㄗ	黎明
dawn	dɔːn	d-ô-n	ㄉㄛㄋ	黎明
hornets	ˈhɔːnɪts	h-ô-n-i-t-s	ㄏㄛㄋㄧㄗ	黃蜂
yellow	ˈjɛləʊ	y-é-l-ə-oo	ㄡㄜㄌㄦㄡ	黃色
cucumbers	ˈkjuːkʌmbəz	k-yü-k-u-m-b-ə-z	ㄍㄡㄨㄍㄨㄇㄅㄦㄗ	黃瓜
topaz	ˈtəʊpæz	t-ə-oo-p-a-z	ㄉㄦㄡㄅㄚㄗ	黃玉
cattle	ˈkætl	k-a-t-l	ㄍㄚㄉㄌ	黃牛
nightfall	ˈnaɪtfɔːl	n-ī-t-f-ô-l	ㄋㄚㄧㄉㄈㄛㄌ	黃昏
dusk	dʌsk	d-u-s-k	ㄉㄨㄙㄍ	黃昏
leprous	ˈlɛprəs	l-é-p-r-ə-s	ㄌㄜㄅㄖㄦㄙ	麻風
leprosy	ˈlɛprəsi	l-é-p-r-ə-s-ē	ㄌㄜㄅㄖㄦㄙㄧ	麻風
sparrows	ˈspærəʊz	s-p-a-r-ə-oo-z	ㄙㄅㄚㄖㄦㄡㄗ	麻雀
sparrow	ˈspærəʊ	s-p-a-r-ə-oo	ㄙㄅㄚㄖㄦㄡ	麻雀
sacks	sæks	s-a-k-s	ㄙㄚㄍㄙ	麻袋
troubles	ˈtrʌblz	t-r-u-b-l-z	ㄉㄖㄨㄅㄌㄗ	麻煩
trouble	ˈtrʌbl	t-r-u-b-l	ㄉㄖㄨㄅㄌ	麻煩
stupor	ˈstjuːpə	s-t-yü-p-ə	ㄙㄉㄡㄨㄅㄦ	麻木
sackcloth	ˈsækklɒθ	s-a-k-k-l-o-th	ㄙㄚㄍㄍㄌㄛㄊ	麻布
linen	ˈlɪnɪn	l-i-n-i-n	ㄌㄧㄋㄧㄋ	麻布
batter	ˈbætə	b-a-t-ə	ㄅㄚㄉㄦ	麵糊
flour	ˈflaʊə	f-l-o-w-ə	ㄈㄌㄚㄡㄦ	麵粉
dough	dəʊ	d-ə-oo	ㄉㄦㄡ	麵團
loaves	ləʊvz	l-ə-oo-v-z	ㄌㄦㄡㄈㄗ	麵包
loaf	ləʊf	l-ə-oo-f	ㄌㄦㄡㄈ	麵包
breads	brɛdz	b-r-é-d-z	ㄅㄖㄜㄉㄗ	麵包
bread	brɛd	b-r-é-d	ㄅㄖㄜㄉ	麵包
mizraim	mizraim	m-ē-z-r-a-ē-m	ㄇㄧㄗㄖㄞㄇ	麥西
melki	melki	m-e-l-k-ē	ㄇㄝㄌㄍㄧ	麥基
grainfields	grainfields	g-r-a-ē-n-f-ē-e-l-d-s	ㄍㄖㄞㄋㄈㄧㄝㄌㄉㄙ	麥地
lye	laɪ	l-ī	ㄌㄚㄧ	鹼液
cormorant	ˈkɔːmərənt	k-ô-m-ə-r-ə-n-t	ㄍㄛㄇㄦㄖㄣㄉ	鸕鶿
hawks	hɔːks	h-ô-k-s	ㄏㄛㄍㄙ	鷹派
partridge	ˈpɑːtrɪʤ	p-ä-t-r-i-y	ㄅㄚㄉㄖㄧㄓ	鷓鴣
quail	kweɪl	k-w-ā-l	ㄍㄨㄝㄧㄌ	鵪鶉
pigeons	ˈpɪʤɪnz	p-i-y-i-n-z	ㄅㄧㄓㄧㄋㄗ	鴿子
pigeon	ˈpɪʤɪn	p-i-y-i-n	ㄅㄧㄓㄧㄋ	鴿子
doves	dʌvz	d-u-v-z	ㄉㄨㄈㄗ	鴿子
dove	dʌv	d-u-v	ㄉㄨㄈ	鴿子
ostriches	ˈɒstrɪʧɪz	o-s-t-r-i-ch-i-z	ㄛㄙㄉㄖㄧㄓㄧㄗ	鴕鳥
ostrich	ˈɒstrɪʧ	o-s-t-r-i-ch	ㄛㄙㄉㄖㄧㄓ	鴕鳥
chirping	ˈʧɜːpɪŋ	ch-û-p-i-ng	ㄓㄦㄅㄧㄥ	鳴叫
phoenix	ˈfiːnɪks	f-ē-n-i-k-s	ㄈㄧㄋㄧㄍㄙ	鳳凰
birds	bɜːdz	b-û-d-z	ㄅㄦㄉㄗ	鳥類
crocodile	ˈkrɒkədaɪl	k-r-o-k-ə-d-ī-l	ㄍㄖㄛㄍㄦㄉㄚㄧㄌ	鱷魚
fins	fɪnz	f-i-n-z	ㄈㄧㄋㄗ	鰭片
reckless	ˈrɛklɪs	r-é-k-l-i-s	ㄖㄜㄍㄌㄧㄙ	魯莽
reuben	reuben	r-e-ū-b-e-n	ㄖㄝㄨㄅㄝㄋ	魯本
osprey	osprey	o-s-p-r-ey	ㄛㄙㄅㄖㄝㄩ	魚鷹
harpoon	hɑːˈpuːn	h-ä-p-ū-n	ㄏㄚㄅㄨㄋ	魚叉
devil	ˈdɛvl	d-é-v-l	ㄉㄜㄈㄌ	魔鬼
magic	ˈmæʤɪk	m-a-y-i-k	ㄇㄚㄓㄧㄍ	魔法
charms	ʧɑːmz	ch-ä-m-z	ㄓㄚㄇㄗ	魅力
charm	ʧɑːm	ch-ä-m	ㄓㄚㄇ	魅力
boldness	ˈbəʊldnəs	b-ə-oo-l-d-n-ə-s	ㄅㄦㄡㄌㄉㄋㄦㄙ	魄力
haunted	ˈhɔːntɪd	h-ô-n-t-i-d	ㄏㄛㄋㄉㄧㄉ	鬧鬼
farce	fɑːs	f-ä-s	ㄈㄚㄙ	鬧劇
troublemakers	ˈtrʌblˌmeɪkəz	t-r-u-b-l-m-ā-k-ə-z	ㄉㄖㄨㄅㄌㄇㄝㄧㄍㄦㄗ	鬧事
struggle	ˈstrʌgl	s-t-r-u-g-l	ㄙㄉㄖㄨㄍㄌ	鬥爭
fight	faɪt	f-ī-t	ㄈㄚㄧㄉ	鬥爭
hyenas	haɪˈiːnəz	h-ī-ē-n-ə-z	ㄏㄚㄧㄧㄋㄦㄗ	鬣狗
beards	bɪədz	b-ē-ə-d-z	ㄅㄧㄦㄉㄗ	鬍鬚
beard	bɪəd	b-ē-ə-d	ㄅㄧㄦㄉ	鬍子
loosen	ˈluːsn	l-ū-s-n	ㄌㄨㄙㄋ	鬆開
relent	rɪˈlɛnt	r-i-l-é-n-t	ㄖㄧㄌㄜㄋㄉ	鬆口
loosed	luːst	l-ū-s-t	ㄌㄨㄙㄉ	鬆動
mane	meɪn	m-ā-n	ㄇㄝㄧㄋ	鬃毛
hairstyles	ˈheəˌstaɪlz	h-ã-s-t-ī-l-z	ㄏㄝㄦㄙㄉㄚㄧㄌㄗ	髮型
blaring	ˈbleərɪŋ	b-l-ã-r-i-ng	ㄅㄌㄝㄦㄖㄧㄥ	高音
lofty	ˈlɒfti	l-o-f-t-ē	ㄌㄛㄈㄉㄧ	高遠
superb	sju(ː)ˈpɜːb	s-yü---p-û-b	ㄙㄡㄨㄅㄦㄅ	高超
noble	ˈnəʊbl	n-ə-oo-b-l	ㄋㄦㄡㄅㄌ	高貴
exalts	ɪgˈzɔːlts	i-g-z-ô-l-t-s	ㄧㄍㄗㄛㄌㄗ	高舉
thrilled	θrɪld	th-r-i-l-d	ㄊㄖㄧㄌㄉ	高興
glee	gliː	g-l-ē	ㄍㄌㄧ	高興
glad	glæd	g-l-a-d	ㄍㄌㄚㄉ	高興
loudly	ˈlaʊdli	l-o-w-d-l-ē	ㄌㄚㄡㄉㄌㄧ	高聲
aloud	əˈlaʊd	ə-l-o-w-d	ㄦㄌㄚㄡㄉ	高聲
high-ranking	ˈhaɪˌræŋkɪŋ	h-ī-r-a-ng-k-i-ng	ㄏㄚㄧㄖㄚㄥㄍㄧㄥ	高級
advanced	ədˈvɑːnst	ə-d-v-ä-n-s-t	ㄦㄉㄈㄚㄋㄙㄉ	高級
climax	ˈklaɪmæks	k-l-ī-m-a-k-s	ㄍㄌㄚㄧㄇㄚㄍㄙ	高潮
gog	gog	g-o-g	ㄍㄛㄍ	高格
excel	ɪkˈsɛl	i-k-s-é-l	ㄧㄍㄙㄜㄌ	高強
highly	ˈhaɪli	h-ī-l-ē	ㄏㄚㄧㄌㄧ	高度
heights	haɪts	h-ī-t-s	ㄏㄚㄧㄗ	高度
height	haɪt	h-ī-t	ㄏㄚㄧㄉ	高度
highlands	ˈhaɪləndz	h-ī-l-ə-n-d-z	ㄏㄚㄧㄌㄣㄉㄗ	高地
chanted	ˈʧɑːntɪd	ch-ä-n-t-i-d	ㄓㄚㄋㄉㄧㄉ	高呼
plateaus	ˈplætəʊz	p-l-a-t-ə-oo-z	ㄅㄌㄚㄉㄦㄡㄗ	高原
plateau	ˈplætəʊ	p-l-a-t-ə-oo	ㄅㄌㄚㄉㄦㄡ	高原
skeletons	ˈskɛlɪtnz	s-k-é-l-i-t-n-z	ㄙㄍㄜㄌㄧㄉㄋㄗ	骷髏
dice	daɪs	d-ī-s	ㄉㄚㄧㄙ	骰子
unclean	ʌnˈkliːn	u-n-k-l-ē-n	ㄨㄋㄍㄌㄧㄋ	骯髒
bones	bəʊnz	b-ə-oo-n-z	ㄅㄦㄡㄋㄗ	骨頭
framework	ˈfreɪmwɜːk	f-r-ā-m-w-û-k	ㄈㄖㄝㄧㄇㄨㄦㄍ	骨架
backbone	ˈbækbəʊn	b-a-k-b-ə-oo-n	ㄅㄚㄍㄅㄦㄡㄋ	骨幹
spur	spɜː	s-p-û	ㄙㄅㄦ	骨刺
fright	fraɪt	f-r-ī-t	ㄈㄖㄚㄧㄉ	驚駭
roused	raʊzd	r-o-w-z-d	ㄖㄚㄡㄗㄉ	驚醒
awakened	əˈweɪkənd	ə-w-ā-k-ə-n-d	ㄦㄨㄝㄧㄍㄣㄉ	驚醒
astonished	əsˈtɒnɪʃt	ə-s-t-o-n-i-sh-t	ㄦㄙㄉㄛㄋㄧㄕㄉ	驚訝
alarmed	əˈlɑːmd	ə-l-ä-m-d	ㄦㄌㄚㄇㄉ	驚慌
amazement	əˈmeɪzmənt	ə-m-ā-z-m-ə-n-t	ㄦㄇㄝㄧㄗㄇㄣㄉ	驚愕
amaze	əˈmeɪz	ə-m-ā-z	ㄦㄇㄝㄧㄗ	驚奇
terrify	ˈtɛrɪfaɪ	t-é-r-i-f-ī	ㄉㄜㄖㄧㄈㄚㄧ	驚嚇
startle	ˈstɑːtl	s-t-ä-t-l	ㄙㄉㄚㄉㄌ	驚嚇
marveling	ˈmɑːvəlɪŋ	m-ä-v-ə-l-i-ng	ㄇㄚㄈㄦㄌㄧㄥ	驚嘆
marveled	ˈmɑːvəld	m-ä-v-ə-l-d	ㄇㄚㄈㄦㄌㄉ	驚嘆
exclaimed	ɪksˈkleɪmd	i-k-s-k-l-ā-m-d	ㄧㄍㄙㄍㄌㄝㄧㄇㄉ	驚呼
scream	skriːm	s-k-r-ē-m	ㄙㄍㄖㄧㄇ	驚叫
astounding	əsˈtaʊndɪŋ	ə-s-t-o-w-n-d-i-ng	ㄦㄙㄉㄚㄡㄋㄉㄧㄥ	驚人
amazing	əˈmeɪzɪŋ	ə-m-ā-z-i-ng	ㄦㄇㄝㄧㄗㄧㄥ	驚人
