och	and
havssidan	sea ​​side
havsområdet	the sea area
havsodjurets	of the sea animal
havsodjurens	sea ​​animal
havsmonstrens	sea ​​monsters
havslevande	marine life
havsguden	the sea god
havsgrunden	the seabed
havsfolkens	of the sea people
havsdjupens	of the sea depth
havetUnder	the seaUnder
havetTroligen	the seaProbably
havetSöderut	the seaSouth
havetEfter	the seaAfter
havetAnvänds	the seaUsed
havandeskapet	the pregnancy
havandes	pregnant
hatiske	hateful
hatfulles	hatefully
hatets	of hate
haterska	hater
hatarens	the hater's
hataren	the hater
hatarAnnan	hateAnan
hatarAndra	hate others
hatadom	hatred
hatadAnnan	hatedOther
hatadAndra	hatedOther
hataTroligen	hateProbably
hasteligit	in a hurry
hassel	hazel
hasa	slither
har 	have 
har utvalt	have selected
har skett	has happened
har letat	have searched
harpspelaren	the harp player
harpolekares	Harpolekares
harpares	are harped
harpande	harping
harpadt	harped
harpaAnnan	harpAnother
harneskhushörnet	the harness household corner
harneskhuset	the harness house
harmoniskt	harmoniously
harmoniserar	harmonizes
harmonins	of harmony
harmoniera	harmonize
harmes	resentment
harmats	resented
harmas	resent
harfva	harrow
harenDessa	hareThese
haremets	of the harem
hardeliga	hardy
haran	the hare
harAnnan	hasOther
han själv är	he himself is
han lever	he lives
han inte	he doesn't
hanukka	hanukkah
hantverksskickliga	skilled craftsman
hantverkskunnigt	craftsmanship
hantverksfolk	artisans
hanteringen	the handling
hantering	management
hans liv	his life
hankönHondjur	male female
hankönFörebild	male role model
hankönDet	male It
hang	hung
hanegället	the male gill
handyxa	hand axe
handtverksmän	craftsmen
handtverksfolket	the artisans
handtverket	the craft
handtillverkade	hand made
handterat	handled
handterare	handler
handterar	handles
handterade	handled
handskrifters	of manuscripts
handskades	gloves were damaged
handsbredds	hand width
handpåläggningPaulus	laying on of handsPaulus
handpåkar	hands on
handplockade	handpicked
handlöst	hands free
handlingsplan	action plan
handlingsförlamade	paralyzed by action
handlingsförlamad	paralyzed by action
handlingars	of actions
handladt	shopped
handlad	traded
handkvarnenTvå	the hand grinderTwo
handkläden	the handkerchief
handjurFörebild	HandjobRole model
handhar	has hands
handha	handle
handgripligen	tangible
handgriplig	tangible
handgjord	handmade
handfått	handy
handfyllningsvädur	hand stuffing ram
handfyllningsoffrets	of the hand filling victim
handfyllningsoffret	the hand filling offering
handfyllningsoffer	hand filling offering
handfyllningsköttet	the hand stuffing meat
handfyllningskorgen	the hand filling basket
handfyllningsdagar	hand filling days
handflatorna	the palms of the hands
handflator	palms
handfasta	hand fast
handelsvänner	trading friends
handelsstation	trading post
handelsstaden	the trading city
handelsnationen	the trading nation
handelsmännens	of the merchants
handelsleder	trade routes
handelskvarterEn	trading districtA
handelsförbindelser	trade relations
handelsflottan	merchant navy
handelsfartygen	merchant ships
handelsbåtarna	the merchant boats
handels	trade
handelen	the trade
handelKan	tradeCan
handdrivna	hand operated
handarbetarna	the manual workers
handSvärd	hand Sword
handResande	Hand Traveling
handLagen	hand Act
handAnnan	handOther
hanSeptuaginta	he Septuagint
hamuliterna	the Hamulites
hamrats	hammered
hamnpirerna	the harbor piers
hamnerna	the ports
hamner	ports
hamateernaStaden	the hamateansThe city
halvöns	peninsula
halvår	six months
halvädelstenar	semi-precious stones
halvruttet	half rotten
halvproselyter	half proselytes
halvorna	the halves
halvmånen	the crescent moon
halvmilOrdagrant	half a mile verbatim
halvmetersmått	half meter measurement
halvmeterhöga	half a meter high
halvliter	pint
halvbrodern	the half brother
haltlöst	lamely
halten	the limp
haltas	is limping
haltan	the limp
haltaGrek	lameGreek
halsstyfva	stiff neck
halsstyfhet	neck stiffness
halssmoget	throat smog
halssmog	throat smog
halsprydnaderna	the neck ornaments
halskedjor	necklaces
halskedjo	necklace
halshuggs	decapitated
halshuggne	decapitated
halshuggas	beheaded
halsenAnnan	neckOther
halse	neck
halsbränna	heartburn
halsat	throated
halsarna	the necks
halsOfficiellt	throatOfficial
halsJfr	throatCf
halmHåller	straw Holds
hallelú	hallelujah
hallelujarop	hallelujah cry
halhet	lameness
halfve	half way
halfvan	semi-accustomed
halftionde	half tenth
halftannat	half toothed
halfdödan	half dead
hakspetälska	chin leprosy
hakklammer	staples
hakade	hooked
haglena	the hailstones
haglen	the hail
haglar	hails
hagiasmos	hagiasmosis
haggiterna	the haggites
hagelsten	hail stone
hagelskurar	hail showers
hagaréer	hagarés
hagariternaAraber	the HagaritesArabs
hagaritenAraber	Hagarite Arabs
hafvens	of the sea
hafsvägen	the ocean road
hafsstrandena	the seashores
hafsorm	sea ​​serpent
hafsbottnen	the seabed
hafde	had
hackorna	the hoes
hackade	hacked
haUnder	haveUnder
göts	cast
göras ett	be made one
göraslut	break up
görDessa	do these
gömmes	is hidden
gömmen	hidden
gömmare	concealer
gömder	hides
gödselpölen	the manure puddle
gödseln	the manure
gödokalfvar	fattened calves
gödfågel	fat bird
gödde	fattened
göddas	fertilized
göddan	the fat
gåvotjänst	gift service
gåvorUnderkuvade	giftsSubdued
gåvogivare	gift giver
gåvanOrdagrant	the gift verbatim
gåvaMottagandet	giftThe reception
gåvaGrek	gift Greek
gåt	gone
går ut	goes out
gårdsfolk	farm people
gårdsfogda	farm bailiff
gårdomen	the yard
gårdom	farmstead
gårdarTemplets	farmsTemplets
gårAndra	goesOther
gångerEn	timesOne
gångens	of the passage
gånga	walk
gåfvorna	the gifts
gåfvones	gift vouchers
gåfvone	gift card
gåfves	given away
gästtalaren	the guest speaker
gästrummetGrek	the guest roomGreek
gästerSe	guestsSee
gästahuset	the guesthouse
gästabådshus	guest house
gästabådsdagen	guest boat day
gästabådet	the guest boat
gästabudsdagarna	the guest invitation days
gästabudsdagar	guest invitation days
gärningslära	deed doctrine
gärnings	deed
gärningarNikolaiterna	works the Nicolaitans
gärningarAndra	deedsOther
gärder	does
gärda	done
gäldenäromen	the debt room
gäldenärenom	about debt
gäldas	applies
gäld	debt
gäckades	was missed
gäckade	escaped
gäckad	missed
gynnar	benefits
gynnade	benefited
gymnazo	high school
gymnasia	high school
gycklares	jesters
guvernörens	the governor's
gurkfrukterTolkas	Cucumbers are interpreted
gurk	cucumber
gunstige	favorable
guniterna	the gunites
gungar	swings
gummors	gum's
gummiharts	gum resin
gulskimrande	yellow shimmer
gulna	yellow
gulgrön	yellowish green
guldtalent	golden talent
guldsång	golden song
guldstycke	gold piece
guldsten	gold stone
guldspännen	gold buckles
guldsocklar	gold plinths
guldsmedssonen	the goldsmith's son
guldsmedernas	of goldsmiths
guldsmedens	the goldsmith's
guldskimrande	shimmering gold
guldproducerande	gold producing
guldplätering	gold plating
guldlock	gold cap
guldlamporna	the gold lamps
guldkällan	the gold source
guldkronor	gold crowns
guldkransar	gold wreaths
guldklimpar	gold nuggets
guldkedjo	gold chain
guldkar	pot of gold
guldkalfvar	golden calves
guldgul	golden yellow
guldglans	golden sheen
guldfyndigheter	gold deposits
gulde	gold
guldbeklädda	gilded
guldarbeten	gold works
guldKung	gold king
guldDrygt	goldDry
guldAndra	goldOther
gulaktig	yellowish
gudsviljan	God's will
gudstjänstväsende	worship service
gudstjänststadgar	worship statutes
gudstjänstssången	the worship song
gudstjänstredskap	utensils of worship
gudstjänstplatser	places of worship
gudstjänstlokalen	the worship hall
gudstjänstdagen	the day of worship
gudstjänstdag	worship day
gudstjenst	worship service
gudsskådandet	God-seeing
gudsrelationen	the god relationship
gudsrelation	god relationship
gudsordet	the word of God
gudsmännen	the godmen
gudsmän	men of God
gudsmans	God's
gudsmannenEn	the godmanOne
gudskunskap	knowledge of God
gudsförsmädare	blasphemer
gudsförnekare	denier of God
gudsfrånvänt	God forsaken
gudsdyrkare	worshiper of God
gudomsord	divine word
gudomshärlighet	divinity glory
gudlöshetens	of godlessness
gudlösaHebr	godlessHeb
gudinnos	goddess kiss
gudinnor	goddesses
gudinnones	those of goddesses
gudhängivet	devoted to God
gudfruktigare	more godly
gudaväsens	the deity
gudatroner	thrones of the gods
gudasäte	seat of god
gudastod	God stood
gudastjärnan	the god star
gudasonEtt	son of godOne
gudasaga	fairy tale
gudarne	the gods
gudarUnder	godsWonder
gudarDe	gods
gudarAnnan	godsOther
gudanamnen	the god names
gudamakter	god powers
gudaktigt	godly
gudaktighetens	of godliness
gudaktigheten	the divinity
gudaförsamlingenAnnan	the assembly of godsOther
gudafader	godfather
gudabilderAvfälliga	images of gods Apostates
gudabildSträngt	god image Strictly
gudKananeiska	godCanaanite
gudEtt	godOne
gudDvs	godIe
grönsakerSäd	vegetablesGrain
grönsakerHebr	vegetablesHeb
grödande	growing
gråtropet	the gray trope
gråtoröst	crying voice
gråtoek	gray oak
gråtodagar	days of mourning
gråtodag	mourning day
gråto	cried
gråterskorna	the crying shoes
gråterskorYrkeskvinnor	crying shoes Professional women
gråterska	crybaby
gråtens	of crying
gråstarr	cataracts
grånar	turning grey
gråhårotan	the gray hair
gråhårota	gray hair root
grävling	Badger
gräv	dig
gräten	the cry
gräte	cried
gräsmatkom	grass came
gräsmatken	the lawn
gräsmaskarna	the grass worms
gräsmaskarTroligen	grass wormsProbably
gräsmark	grassland
gräshoppsyngelns	that of the grasshopper chick
gräshoppslarver	grasshopper larvae
gräshoppsinvasionen	the locust invasion
gräshopporna 	the grasshoppers 
gräshoppornaKunde	the grasshoppers Could
gräshoppornaDe	the grasshoppers
gräshopporGräshoppssvärmar	locusts Locust swarms
gräshoppom	grasshopper pom
gräsfrätarna	the grass eaters
gräseligit	grassy
gräselige	grassy
gräselig	grassy
gräns i norr	border in the north
gränstrakten	the border region
gränsstäderna	the border towns
gränsstenarna	the boundary stones
gränsstenarEtt	boundary stonesOne
gränsstenIsraeliternas	boundary stone of the Israelites
gränsostäder	border towns
gränsorna	the borders
gränsområdet	border area
gränslösa	limitless
gränsbefästning	border fortification
gränsAndra	borderOther
gränderna	the alleys
grämen	the anger
grälsjuka	quarrelsome
grälAndra	quarrelOther
gräddats	baked
gräddat	baked
grámmata	gram food
grynvällingen	the gruel
gryningstid	dawn time
gryningsljus	dawn light
grynings	dawn
grymnet	the horror
grymmeliga	cruel
grymmast	cruelest
grymman	cruel man
grymhetens	of cruelty
grymStrutsen	the cruel ostrich
gruvlig	horrible
gruvar	mines
grushögar	gravel piles
grusa	gravel
gruppers	of groups
grupperAnnan	groupsOther
gruppbeteckning	group designation
grunnade	primed
grundvalsdörrena	the foundation door
grundtexterna	the basic texts
grundtext	basic text
grundspråk	basic language
grundsatserna	the principles
grundsats	tenet
grundregeln	the basic rule
grundläggande 	basic 
grundlägga	establish
grundlades	was founded
grundfästen	foundations
grundfäste	foundation
grundeligare	more thorough
grundbudskapet	the basic message
grundbetydelse	basic meaning
grundAnnan	basicOther
grumlen	the cloudy
grufvelige	gruesome
grufveligan	the mining league
grufvat	mined water
grufligom	pitiful
grottöppningen	the cave opening
grottorna	the caves
grottanSe	the caveSee
grottaLåg	caveLow
gropenes	of the pits
groparna	the pits
grofve	gruff
gristryne	pig snout
griskött	pork
grisens	the pig's
grisblod	pig blood
gripet	seized
gripe	grasp
gripasAnnan	arrestedOther
gripande	poignant
grind	gate
grillades	was grilled
grilla	grill
griften	the grift
grete	Grete
greppen	the grip
greppat	seized
greppar	grips
grepne	grabbed
grenverk	branch works
grenom	branch
grekisering	Greekization
grekernas	of the Greeks
grekerGrekisktalande	Greeks Greek speaking
grekens	the Greek
grekDvs	GreekIe
gravstenEtt	tombstoneOne
gravsed	burial custom
gravmålningarna	the tomb paintings
gravmålningar	tomb paintings
gravmålning	tomb painting
gravköp	grave purchase
gravkista	coffin
gravkammaren	the burial chamber
gravinskriptioner	grave inscriptions
graviditetens	of pregnancy
graviditet	pregnancy
graveringstekniker	engraving techniques
graverats	engraved
gravar som	tombs which
granträ	spruce wood
granskning	examination
granskande	examining
grannstaden	neighboring town
grannqvinnor	neighbor women
grannqvinno	next door neighbor
grannlåt	trappings
grannländer	neighboring countries
grannfru	lady next door
grannfamiljen	the neighboring family
grannens	neighbor's
granneligen	roughly
grannbyn	neighboring village
granatäpplet	the pomegranate
granatäppelträd	pomegranate tree
gran	fir
grammatiska	grammatical
grammatiken	the grammar
grafvård	grave care
grafvarna	the tombs
grafvan	grave habit
grafstickel	graph stick
grafisk	graphic
graderat	graduated
graden	the degree
goél	good
gottfinnande	discretion
gottOrdagrant	good verbatim
gottAnnan	goodOther
gossebarnet	the boy child
gomerCa	gomerApprox
golvstenar	floor stones
golfen	the golf
goferträOkänt	gofer woodUnknown
godvilje	goodwill
godvilja	goodwill
godtagits	accepted
godtagen	accepted
godse	Estate
godhjertige	kind hearted
godhetenes	of goodness
godhetene	the goodies
godhetAnnan	goodnessOther
godeSeptuaginta	good Septuagint
godaste	tastiest
gnósis	gnosis
gnälla	whine
gnäll	whine
gnys	grin
gnyn	grin
gnostisk	gnostic
gnistra	sparkle
gnisto	spark
gnisslet	the squeak
gnisslande	creaky
gnissel	squeak
gnatar	gnaws
gnatande	gnawing
glömsker	forgets
glömskan	the oblivion
glöms	is forgotten
glödvindar	hot winds
glödvind	glowing wind
glödgat	annealed
glödgad	annealed
glödene	the glows
glödbakadt	baked hot
glödandes	glowing
glåmiga	forgetful
glädsAnnan	rejoiceAnother
glädjeämnen	joys
glädjetåg	joy train
glädjeströmmar	streams of joy
glädjestad	city ​​of joy
glädjeskörd	harvest of joy
glädjeropet	the cry of joy
glädjer	joys
glädjeolja	joy oil
glädjeoffer	joy sacrifice
glädjenes	of joy
glädjene	the joy
glädjenamn	name of joy
glädjehuset	the joy house
glädjehus	brothel
glädjefylld	joyous
glädjefulla	joyful
glädjebudbäraren	the messenger of joy
glädjeAndra	joyOther
glorifierar	glorifies
glittrat	glittered
glittrade	glittered
glittra	glisten
glest	sparsely
glatta	smooth
glasena	the glasses
glapp	play
glansiga	glossy
glansfulla	shiny
gladona	glad ones
gladom	joy
gladdens	of joy
gladUttrycket	happyThe expression
gjuts	cast
gjutningen	the casting
gjutne	cast
gjutes	was cast
gjutenTroligen	castProbably
gjortAnnan	doneOther
gjorder	does
gjordene	did
gjordarne	the girders
gjordan	done
gjordada	done
gjfver	gives
gjenom	through
givetvis	of course
givarna	the donors
givareOrds	donorWords
givandets	of giving
gitarr	guitar
gistnar	ferments
gisslingen	the hostage
gisslade	scourged
gisslaDet	curse it
gissen	the guess
gissan	the guess
girséerna	the girsés
girigtAndra	greedyOther
girighetens	of greed
girighetena	the greed
girgasheernaObekant	girgasheernaUnknown
gir	turn
ginströtterOätliga	ginseng roots Inedible
ginstkolfrån	coal from
ginstbuskeCa	ginstbuskeApprox
giltigtSe	validSee
gillrats	liked
gillen	the guild
gillat	liked
gilladt	liked
gildt	valid
gildrat	trapped
gifvom	given
gifves	given
gifvare	donor
gifvande	giving
giftplanta	poisonous plant
giftormsyngel	viper brood
giftormsbo	poisonous snake's nest
giftormarKanske	venomous snakesMaybe
giftormKanske	venomous snakeMaybe
giftom	Married
giftigaHebr	poisonousHeb
giftgaddarna	the poison barbs
giftgadd	poison barb
giftermålJoshafats	marriage of Jehoshaphat
giftasvuxenAnnan	marriedadultOther
giftasmogen	ready to marry
gick 	went 
gickDen	went it
gibeatiten Hashemaas	the Gibeathite Hashemaas
ggr	times
gevaléernas	of the Gevalians
gettSe	givenSee
gettNamnet	givenName
gettAndra	givenOther
getskin	goatskin
gethårstält	goat hair tent
geten	the goat
getamjölk	goat's milk
getahjord	geta soil
gesuréer	Gesures
gesureer	Gesures
gestikulerade	gesticulated
gestaltad	embodied
geshureernaDessa	the GeshureansThese
