از	From	z
بشر،	Humanity,	bshr,
رونق	Prosperity	rwnq
بیفتد،	It will happen,	byftd,
بزرگمان	Our elder	bzrgmn
پرستیده	Worshipped	prstydh
آرتِمیسِ	Artemis	artimysi
اَفِسُسیان	Ephesians	afisusyn
آریستارخوس	Aristarchus	arystrkhws
نگذاشتند	They didn't let	ngdhshtnd
انداخته	Dropped	ndkhth
تکان	Shake	tkhn
دفاعی	Defensive	df`y
یکصدا،	In unison,	ykhSd,
داروغۀ	The blacksmith	drwGhy
حافظِ	Hafiz	HfZi
انکارناپذیر	Undeniable	nkhrnpdhyr
دستبرد	Robbery	dstbrd
صنعتگرش	His craftsman	Sn`tgrsh
محکمه‌ها	Courts	mHkhmhh
والیان	Governors	wlyn
شکایات	Complaints	shkhyt
جلسات	Meetings	jlst
انجمن	association	njmn
وقایع	Events	wqy`
شورشگری	Rebellion	shwrshgry
توجیه	Justification	twjyh
متفرق	Miscellaneous	mtfrq
نزول	Descent	nzwl
فرا رسید،	It has arrived,	fr rsyd,
تندبادی	Gust	tndbdy
زبانه‌هایی	Tabs	zbnhhyy
تکلّم	Speech	tkhlWm
می‌بخشید،	Excuse me,	mybkhshyd,
حیران	Astonished	Hyrn
بهت‌زده،	Astonished,	bhtzdh,
زادگاه	Birthplace	zdgh
پارتها	Parthians	prth
عیلامیان،	Elamites,	`ylmyn,
بین‌النهرین	Mesopotamia	bynlnhryn
لیبی	Libya	lyby
زائران	Pilgrims	zy'rn
یهودی‌شده	Judaized	yhwdyshdh
کْرِت	Crete	khrit
عربستان	Saudi Arabia	`rbstn
مدح	Praise	mdH
متحیر	Astonished	mtHyr
سرگشته	Confused	srgshth
رویداد	Event	rwydd
ریشخندکنان	Mockers	ryshkhndkhnn
شرابند	They are drunk.	shrbnd
فرو خواهم	I will swallow.	frw khwhm
جوانانتان	Your youth	jwnntn
پیرانتان	Pyranthan	pyrntn
کنیزانم،	My maids,	khnyznm,
عجایب،	Wonders,	`jyb,
پایین،	Down,	pyyn,
بخار	Steam	bkhr
پرشکوه	Magnificent	prshkhwh
بخواند،	Read,	bkhwnd,
آیاتی	Verses	ayty
حقانیتش	His righteousness	Hqnytsh
مشیّت	Providence	mshyWt
صلیبش	His cross	Slybsh
محال	Impossible	mHl
نخورم	I won't eat.	nkhwrm
وجد؛	Ecstasy;	wjd;
پیکرم	My body	pykhrm
آموخته‌ای،	You have learned,	amwkhthy,
پاتْریارْک	Patriarch	ptryrkh
صُلْبِ	Cross	Sulbi
نشانید	Seated	nshnyd
پیکرش	His body	pykhrsh
نبیند	Don't see	nbynd
روح‌القدسِ	Holy Spirit	rwHlqdsi
کرسی	Chair	khrsy
پایت	Foot	pyt
کشیدید،	You pulled,	khshydyd,
دلریش	Delrich	dlrysh
دورند،	Durand,	dwrnd,
برهانید	Prove it.	brhnyd
مشترک	Common	mshtrkh
بهت	Bewilderment	bht
صفای	Safai	Sfy
حمد	Praise	Hmd
خلقْ	Creation	khlq
می‌داشتند؛	They had;	mydshtnd;
جمعشان	Their sum	jm`shn
نیای	Ancestor	nyy
یونان	Greece	ywnn
فرو نشست،	It subsided,	frw nshst,
سوپاتِروس	Sopaterus	swptirws
پیرروس	Pyrrhus	pyrrws
بیریه،	Biriyeh,	byryh,
سِکوندوس	Secondus	sikhwndws
تَسالونیکی،	Thessaloniki,	taslwnykhy,
فَطیر،	Unleavened bread,	faTyr,
پیوستیم	We joined.	pywstym
آمدیم	We came.	amdym
اِفتیخوس	Euthychos	iftykhws
عمیق	Deep	`myq
برداشتند	They picked up	brdshtnd
مترسید،	Don't be afraid,	mtrsyd,
سحر	Dawn	sHr
تسلای	Consolation	tsly
آسوس	Asus	asws
بیاوریم،	Let's bring it,	bywrym,
دیدیم،	We saw,	dydym,
آوردیم	We brought	awrdym
میتیلینی	Mytilene	mytylyny
خیوس	Chios	khyws
ساموس	Samos	smws
میلیتوس	Miletus	mylytws
اشکریزان	Tearful	shkhryzn
توطئه‌های	Conspiracies	twTy'hhy
افتد،	Fall,	ftd,
نداشته‌ام،	I haven't,	ndshthm,
تعلیمتان	Your education	t`lymtn
دو،	two,	dw,
الزامِ	The requirement	lzmi
می‌انگارم،	I think,	myngrm,
کوتاهی	Shortness	khwthy
رفتنم،	I'm leaving,	rftnm,
گرگهای	Wolves	grghy
درّنده	Predator	drWndh
دیگرگون	Different	dygrgwn
تمام،	All,	tmm,
دمی	Demi	dmy
اشکها،	Tears,	shkhh,
بازنایستادم	I didn't stop.	bznystdm
چشمداشتی	Expected	chshmdshty
همراهانم	My companions	hmrhnm
نماییم،	Let's do it,	nmyym,
فرخنده‌تر	More prosperous	frkhndhtr
آویخته،	Hanging,	awykhth,
اندوهگینشان	Their sorrow	ndwhgynshn
اسقف	Bishop	sqf
نسخه‌ها،	Versions,	nskhhh,
دریایی	Marine	dryyy
کوس	Kos	khws
رودِس	Rhodes	rwdis
پاتارا	Patara	ptr
تخلیه	Discharge	tkhlyh
نرود	Don't go.	nrwd
فرصتِ	Opportunity	frSti
زدیم	We hit.	zdym
وداع،	Farewell,	wd`,
گرفتیم	We got it.	grftym
پْتولامائیس	Ptolemy	ptwlmy'ys
فیلیپُسِ	Philip	fylypusi
مبشر،	Evangelist,	mbshr,
شنیدیم،	We heard,	shnydym,
گریۀ	Crying	gryhy
می‌شکنید؟	Are you breaking?	myshkhnyd?
روم،	Rome,	rwm,
بسپارم	I will leave it.	bsprm
شاگردانِ	Students	shgrdni
مقیم	Resident	mqym
همراهمان	With us	hmrhmn
مِناسون	Menason	minswn
مِناسون،	Manason,	minswn,
پذیرایمان	Our reception	pdhyrymn
برادر،	Brother,	brdr,
غیورند	They are zealous.	Gywrnd
شایع	Common	shy`
برتابند،	To overcome,	brtbnd,
شک،	Doubt,	shkh,
آمدنت	Your arrival	amdnt
بتراشند	To shave	btrshnd
شایعات	Rumors	shy`t
غیریهودی،	Gentile,	Gyryhwdy,
گوشتِ	Meat	gwshti
تْروفیموسِ	Trophimus	trwfymwsi
اَفِسُسی	Ephesus	afisusy
سراپا	All over	srp
ببندند	Close	bbndnd
هیاهو	Noise	hyhw
قلعه	Castle	ql`h
پله‌های	Stairs	plhhy
خشونتِ	Violence	khshwnti
دستهایشان	Their hands	dsthyshn
جمعیتی	Population	jm`yty
بکشیدش	Kill him.	bkhshydsh
شورشی	Rebel	shwrshy
آدمکش	Murderer	admkhsh
تارسوسِ	Tarsus	trswsi
کیلیکیه‌ام،	Cilicia,	khylykhyhm,
دفاعیۀ	Defense	df`yhy
عرضتان	Your offer	`rDtn
خاموشتر	Quieter	khmwshtr
یهودی‌ام،	I am Jewish.	yhwdym,
متولّد	Born	mtwlWd
کیلیکیه	Cilicia	khylykhyh
اجدادی	Ancestral	jddy
کمال،	Perfection,	khml,
گامالائیل	Gamaliel	gmly'yl
فرا گرفتم	I learned.	fr grftm
پیروان	Followers	pyrwn
می‌رساندم	I would deliver.	myrsndm
می‌افکندم	I was throwing	myfkhndm
گواهند،	They testify,	gwhnd,
بیاورم	Bring it.	bywrm
کننده	Maker	khnndh
تابید	Tabid	tbyd
افتادم	I fell.	ftdm
می‌رسانی؟	Can you deliver?	myrsny?
پرسیدم	I asked.	prsydm
نشنیدند	They didn't hear.	nshnydnd
نور،	Light,	nwr,
بینایی	Vision	bynyy
پایبند	Adherent	pybnd
حَنانیا	Ananias	Hanny
خوشنام	Good name	khwshnm
بینا	sighted	byn
بازیافتم	I recovered.	bzyftm
ببینی	See you.	bbyny
گناهانت	Your sins	gnhnt
بازگشتم،	I'm back,	bzgshtm,
خلسه	Ecstasy	khlsh
فرو رفتم	I sank.	frw rftm
شهید	martyr	shhyd
صحه	Authenticity	SHh
برو؛	Go;	brw;
جاهای	Places	jhy
دوردست،	Distant,	dwrdst,
شهروند	Citizen	shhrwnd
ماندنش	His stay	mndnsh
فریادکشان	Screamers	frydkhshn
رداهای	Robes	rdhy
برمی‌افشاندند،	They were spreading,	brmyfshndnd,
افسری	Officer	fsry
تبعۀ	Citizen	tb`hy
بزنید،	Hit it,	bznyd,
ببینم،	Let me see,	bbynm,
تابعیت،	Citizenship,	tb`yt,
تابعیت	Citizenship	tb`yt
دریافته	Received	dryfth
حَنانیا،	Ananias,	Hanny,
بزنند	To beat	bznnd
زدنم	Hit me.	zdnm
اعظمِ	The greatest	`Zmi
نمی‌دانستم	I didn't know.	nmydnstm
صَدّوقی	Sadducee	SadWwqy
فَریسی‌اند،	Pharisees,	farysynd,
فَریسی	Pharisee	farysy
فَریسی‌زاده‌ام،	I am a Pharisee by birth.	farysyzdhm,
امیدم	My hope	mydm
صَدّوقیان	Sadducees	SadWwqyn
روحند،	They are souls.	rwHnd,
اعتقاد	Belief	`tqd
همهمه‌ای	Buzz	hmhmhy
علمای	Scholars	`lmy
اعتراض‌کنان	Protesters	`trDkhnn
نمی‌بینیم	We don't see.	nmybynym
نکُشند،	Don't kill,	nkhushnd,
نخورند	Don't eat.	nkhwrnd
ننوشند	Don't drink.	nnwshnd
اکید	Strict	khyd
نکشیم،	Let's not kill,	nkhshym,
نخوریم	Let's not eat.	nkhwrym
رسیدنش	Its arrival	rsydnsh
خواهرزادۀ	Niece	khwhrzdhy
زندانی	Prisoner	zndny
بیاورم؛	Bring it;	bywrm;
بگویی؟	Tell me?	bgwyy?
بیاورید،	Bring it,	bywryd,
درخواستشان	Their request	drkhwstshn
نپذیرید،	Do not accept,	npdhyryd,
آماده‌اند،	They are ready,	amdhnd,
منتظرند	They are waiting.	mntZrnd
فرمانده،	Commander,	frmndh,
قدغن	Prohibition	qdGn
رسانده‌ای	You have reached	rsndhy
افسرانش	His officers	fsrnsh
پیاده،	On foot,	pydh,
مَرْکبی	Horsemanship	markhby
فِلیکْسِ	Felix	filykhsi
لیسیاس	Lysias	lysys
عالیجناب	Your Excellency	`lyjnb
سلام،	Hello,	slm,
کشتنش	Kill him.	khshtnsh
سربازانم	My soldiers	srbznm
نجاتش	His rescue	njtsh
خواستم	I wanted	khwstm
اتهام	Accusation	thm
اتهامش	His accusation	thmsh
مدّعیانش	His claimants	mdW`ynsh
دستور،	Order,	dstwr,
آنتیپاتْریس	Antipatris	antyptrys
مدّعیانت	Yours sincerely	mdW`ynt
فرا خواهم	I will call.	fr khwhm
فِلیکْس	Felix	filykhs
وکیلی	Lawyer	wkhyly
تِرتولُس	Tertullus	tirtwlus
عالیجناب،	Your Excellency,	`lyjnb,
سایۀ	Shadow	syhy
برخورداریم	We have	brkhwrdrym
قدردانی	Appreciation	qdrdny
معروض	Exposure	m`rwD
بداریم	Let's have	bdrym
مُصَدِّع	Cracker	muSadiW`
نشویم،	Let's not wash,	nshwym,
قرارمان	Our appointment	qrrmn
عرایض	Petitions	`ryD
مختصرمان	Our brief	mkhtSrmn
فتنه‌انگیز	Seditionary	ftnhngyz
سرکردگان	Leaders	srkhrdgn
گرفتارش	Caught him	grftrsh
محاکمه‌اش	His trial	mHkhmhsh
لیسیاسِ	Lysias	lysysi
به‌زور	By force	bhzwr
مدّعیان	Plaintiffs	mdW`yn
سالیان	Years	slyn
درازی	Length	drzy
دارید؛	Do you have?	dryd;
خشنودی،	Satisfaction,	khshnwdy,
نمی‌گذرد،	It won't pass,	nmygdhrd,
بشورانم	Good morning.	bshwrnm
نمی‌توانند	They can't.	nmytwnnd
اتهاماتی	Accusations	thmty
طریقتی	Path	Tryqty
بدعتش	His innovation	bd`tsh
معتقدم	I believe	m`tqdm
قیامتی	Resurrection	qymty
سالیانی	Years	slyny
نیازمندانِ	The needy	nyzmndni
آشنایی	Introduction	ashnyy
موکول	Postponed	mwkhwl
تحت‌نظر	Under surveillance	tHtnZr
ضمن	Meanwhile	Dmn
آزادیهایی	Freedoms	azdyhyy
آشنایانش	His acquaintances	ashnynsh
دْروسیلا	Drusilla	drwsyl
فرا داد	Faradad	fr dd
پرهیزگاری	Piety	prhyzgry
داوریِ	Arbitration	dwryi
فعلاً	For now	f`lan
ضمن،	Meanwhile,	Dmn,
رشوه‌ای	Bribe	rshwhy
احضارش	Summon him/her	HDrsh
پورکیوس	Porcius	pwrkhyws
فِستوس	Festus	fistws
فِلیکْس،	Felix,	filykhs,
مِنّت	Gratitude	minWt
نهد،	Nahd,	nhd,
به‌اصرار	Insistently	bhSrr
مطرح	Featured	mTrH
گِردش	Roundabout	girdsh
سنگینِ	Heavy	sngyni
مِنّتی	Gratitude	minWty
بنهد،	Look,	bnhd,
مستوجب	Deserving	mstwjb
ابایی	Abai	byy
اساسی	Basic	ssy
آگْریپاس	Agrippa	agryps
آگْریپاسِ	Agrippa	agrypsi
بِرنیکی	Bernice	birnykhy
فِستوس،	Festus,	fistws,
قضیۀ	Case	qDyhy
سرانِ	The leaders	srni
محکومیتش	His conviction	mHkhwmytsh
متهمی	Accused	mthmy
اتهامات،	Accusations,	thmt,
صدور	Issuance	Sdwr
رأیِ	Vote	r'yi
بدارند،	Have,	bdrnd,
مایلم	I would like	mylm
شوکتی	Shaukti	shwkhty
عام	General	`m
حضار	Audience	HDr
جامعۀ	Society	jm`hy
یهود،	Jews,	yhwd,
سر‌داده‌اند	They have sung	srddhnd
سزایش	His punishment	szysh
بازخواست،	Inquiry,	bzkhwst,
نوشتن	Writing	nwshtn
بیابم	I will find.	bybm
نیکبخت	Lucky	nykhbkht
آداب	Manners	adb
اختلافاتِ	Differences	khtlfti
آشنایید	Familiar	ashnyyd
صبورانه	Patiently	Sbwrnh
عرایضم	My symptoms	`ryDm
آگاهند	They are aware.	aghnd
فَریسی،	Pharisee,	farysy,
سختگیرترین	The strictest	skhtgyrtryn
دینمان	Our religion	dynmn
دستیابی	Achievement	dstyby
نکردنی	Incredible	nkhrdny
برخیزانَد؟	Get up?	brkhyznad?
نورزم	Norzum	nwrzm
مجوز	License	mjwz
مقدسینِ	Saints	mqdsyni
می‌افکندم،	I would throw,	myfkhndm,
می‌کوشیدم	I was trying.	mykhwshydm
کفرگویی	Blasphemy	khfrgwyy
وادارشان	Force them	wdrshn
سفرها،	Trips,	sfrh,
اختیارات	Powers	khtyrt
نیمروز،	Noon,	nymrwz,
درخشانتر	Brighter	drkhshntr
لگد	Kick	lgd
سُکها	Souks	sukhh
غیریهودیانی	Gentiles	Gyryhwdyny
بگشایی،	Open,	bgshyy,
بیابند	Find	bybnd
دمشقیان،	Damascenes,	dmshqyn,
یهودیه،	Judea,	yhwdyh,
پرداختم	I paid.	prdkhtm
کرداری	Character	khrdry
کشتنم	Kill me.	khshtnm
دانشِ	Knowledge	dnshi
هوشیاری	Vigilance	hwshyry
نظرشان	Their opinion	nZrshn
زودی	Soon	zwdy
دیر	Late	dyr
زود،	Soon,	zwd,
فرا می‌دهند،	They teach,	fr mydhnd,
مجلسیان	Majlisians	mjlsyn
خطابِ	Address	khTbi
آگریپاس	Agrippa	agryps
تیزی	Sharpness	tyzy
سَندان	Anvil	sandn
کوبیدن	Knocking	khwbydn
مسیحیان،	Christians,	msyHyn,
لطمه	Damage	lTmh
یولیوس	Julius	ywlyws
هَنگ	Hang	hang
قیصر،	Caesar,	qySr,
اَدرامیتینوس	Adramyttium	adrmytynws
بندرهای	Ports	bndrhy
آریستارخوسِ	Aristarchus	arystrkhwsi
مقدونی،	Macedonian,	mqdwny,
نیازهایش	His needs	nyzhysh
امتدادِ	Extension	mtddi
بادْپناهِ	Wind shelter	bdpnhi
بادْ	Wind	bd
مخالف	Opposite	mkhlf
پامفیلیه،	Pamphylia,	pmfylyh,
میرا،	Mira,	myr,
لیکیه	Lycia	lykhyh
اسکندریه	Alexandria	skhndryh
آهسته	Slow	ahsth
کْنیدوس	Cnidus	khnydws
بادْپناه	Wind shelter	bdpnh
کْرِت،	Crete,	khrit,
سالمونی	Salmon	slmwny
به‌سختی	Hardly	bhskhty
گذشتیم	We passed.	gdhshtym
لاسائیه	Lasaie	lsy'yh
خطرناک	Dangerous	khTrnkh
پرخطر	High-risk	prkhTr
ناخدا	Captain	nkhd
بندر	Port	bndr
فینیکس	Phoenix	fynykhs
برسیم	Let's get there.	brsym
ملایمِ	Gentle	mlymi
رسیده‌اند؛	They have arrived;	rsydhnd;
لنگر	Anchor	lngr
برود؛	Go;	brwd;
سپردیم	We handed it over.	sprdym
همسو	Aligned	hmsw
کُودا	Cuda	khuwd
توانستیم	We were able to	twnstym
زورق	Boat	zwrq
درآوریم	Let's take it out.	drawrym
ملّاحان	Sailors	mlWHn
عرشۀ	Deck	`rshhy
طنابها،	Ropes,	Tnbh,
متلاشی	Disintegrated	mtlshy
شنزارِ	Sandbar	shnzri
سیرتیس	Sirtis	syrtys
ضرباتی	Blows	Drbty
بریزند	To pour	bryznd
رنگ	Color	rng
نمی‌دیدیم	We didn't see.	nmydydym
فروکش	Recession	frwkhsh
نمی‌کرد،	He wouldn't,	nmykhrd,
بی‌غذایی،	Malnutrition,	byGdhyy,
می‌پذیرفتید	You would accept.	mypdhyrftyd
نمی‌کردید	You wouldn't.	nmykhrdyd
شهامتتان	Your courage	shhmttn
رسید؛	Receipt;	rsyd;
محاکمه،	Trial,	mHkhmh,
همسفرانت	Your fellow traveler	hmsfrnt
چهاردهم،	Fourteenth,	chhrdhm,
آدریاتیک	Adriatic	adrytykh
ملوانان	Sailors	mlwnn
کمی	A little	khmy
سنجیدند	They measured	snjydnd
زورقِ	The boat	zwrqi
بیندازند	To throw	byndznd
نمانند،	Don't stay,	nmnnd,
طنابهای	Ropes	Tnbhy
نگهدارندۀ	Keeper	nghdrndhy
برده‌اید	You have taken	brdhyd
نخورده،	Not eaten,	nkhwrdh,
غذایی	Food	Gdhyy
نیازمندید	You need it.	nyzmndyd
مقابلِ	Opposite of	mqbli
نشناختند،	They did not recognize,	nshnkhtnd,
خلیجی	Gulf	khlyjy
شنی	Sandy	shny
بنشانند	Sit down.	bnshnnd
لنگرها	Anchors	lngrh
سکان	Rudder	skhn
بادبانِ	Sail	bdbni
برآمدگیهای	Protrusions	bramdgyhy
ضربات	Blows	Drbt
امواج	Waves	mwj
شناکنان	Swimmers	shnkhnn
شنا	Swimming	shn
برسانند	To deliver	brsnnd
قطعات	Parts	qT`t
بادبان	Sail	bdbn
آدریاتیک،	Adriatic,	adrytykh,
آفریقا	Africa	afryq
جزیرۀ	Island	jzyrhy
مالت	Malta	mlt
دریافتیم	We received	dryftym
افروختند،	They lit it,	frwkhtnd,
سرد	Cold	srd
مقداری	Some	mqdry
علت	Cause	`lt
حرارتِ	Heat	Hrrti
ماری	Marie	mry
نمی‌گذارد	It won't let	nmygdhrd
وَرَم	Swelling	waram
بیفتد	To fall	byftd
نرسید،	It didn't arrive.	nrsyd,
زمینهایی	Lands	zmynhyy
متعلّق	Belonging	mt`lWq
پوبلیوس	Publius	pwblyws
پذیرایی	Reception	pdhyryy
بسترِ	Bed	bstri
تب	Fever	tb
اسهال	Diarrhea	shl
واقعه،	Event,	wq`h,
بیمارانی	Patients	bymrny
تکریمِ	Respect	tkhrymi
نیازمان	Our need	nyzmn
علامت	Sign	`lmt
جوزا	Gemini	jwz
سیراکوز	Syracuse	syrkhwz
انداختیم	We threw	ndkhtym
ریگیون	Region	rygywn
پوتیولی	Puteoli	pwtywly
هفته‌ای	Weekly	hfthy
بریم	Let's go.	brym
آپیوس	Appius	apyws
میخانه	Pub	mykhnh
قوّت‌قلب	Fortitude	qwWtqlb
بشارتی	Evangelism	bshrty
آزادم	I am free.	azdm
ناچار	Inevitable	nchr
گزارشی	Report	gzrshy
نیاورده‌اند	They haven't brought	nywrdhnd
مایلیم	We would like	mylym
نظرات	Comments	nZrt
بشنویم،	Let's hear it,	bshnwym,
مجابشان	Mojashan	mjbshn
پذیرفتند،	They accepted,	pdhyrftnd,
فهمید؛	Understood;	fhmyd;
بشنوند،	Listen,	bshnwnd,
شفایشان	Their healing	shfyshn
فرا خواهند	They will come.	fr khwhnd
بی‌پروا	Reckless	byprw
برج،	Tower,	brj,
دوقلوی	Twin	dwqlwy
کاستُر	Castor	khstur
پولوکْس	Pollux	pwlwkhs
خوش‌یُمن	Optimistic	khwshyumn
تنی‌چند،	How many,	tnychnd,
دوختند؛	They sewed;	dwkhtnd;
ساقهای	Stems	sqhy
حمد‌گویان،	Praisers,	Hmdgwyn,
می‌نشست؛	He would sit;	mynshst;
حیرت‌زده	Astonished	Hyrtzdh
اسرائیلی،	Israeli,	sry'yly,
شگفتید؟	Are you surprised?	shgftyd?
تقوای	Piety	tqwy
داده‌ایم؟	Have we given?	ddhym?
تسلیمش	Surrender.	tslymsh
نمودید،	You did,	nmwdyd,
آزادش	Free	azdsh
زدید	You hit.	zdyd
خواستید	You wanted	khwstyd
سرچشمۀ	Source	srchshmhy
کشتید،	You killed,	khshtyd,
تندرست	Healthy	tndrst
بزرگانتان	Your elders	bzrgntn
جهل	Ignorance	jhl
فرا رسد،	It will come,	fr rsd,
پذیرای	Welcome	pdhyry
پیامبرانِ	Prophets	pymbrni
پیامبری	Prophethood	pymbry
انگیخت؛	Arousal;	ngykht;
پیامبر	Prophet	pymbr
نسپارد،	Don't give up,	nsprd,
وارثان	Heirs	wrthn
مبعوث	Envoy	mb`wth
گناه‌آلودتان	Your sins	gnhalwdtn
استراحت	Rest	strHt
طراوت	Freshness	Trwt
تازگی	Novelty	tzgy
نگهبانانِ	The guards	nghbnni
سر‌رسیدند	They arrived.	srrsydnd
مجلس،	Parliament,	mjls,
قیافا	Caiaphas	qyf
کهانت‌اعظم	High Priest	khhnt`Zm
علیل	Disabled	`lyl
کشیدید	You drew.	khshydyd
شهامت	Courage	shhmt
آموزش‌ندیده	Untrained	amwzshndydh
عامی	General	`my
یاران	Friends	yrn
شیوع	Prevalence	shyw`
خدا؟	God?	khd?
بازنگوییم	Let's not repeat it.	bzngwyym
تهدیدهای	Threats	thdydhy
مجازاتشان	Their punishment	mjztshn
معجزه‌آسا	Miraculous	m`jzhas
آفرینندۀ	Creator	afrynndhy
می‌شورند	They wash.	myshwrnd
به‌عبث	In vain	bh`bth
فرمانروایان	Rulers	frmnrwyn
مقدّست	Holy	mqdWst
بخشند	Give	bkhshnd
شراکت	Partnership	shrkht
نمی‌دانست،	He didn't know,	nmydnst,
نیرویی	Force	nyrwyy
وجه	Face	wjh
نیازِ	Need	nyzi
مشوّق	Motivational	mshwWq
لقب	Title	lqb
فروخت	Sold	frwkht
سَفیره	Saphira	safyrh
فروخته،	Sold,	frwkhth,
کاملِ	Perfect	khmli
فروش	Sale	frwsh
ترسی	Fear	trsy
کفن	Shroud	khfn
پیچیدند	They twisted.	pychydnd
فروختید؟	Did you sell it?	frwkhtyd?
بیازمایید؟	Try it?	byzmyyd?
فزونتری	More	fzwntry
می‌پیوستند،	They were joining,	mypywstnd,
میدانهای	Fields	mydnhy
تختها	Beds	tkhth
می‌خواباندند	They were putting him to sleep.	mykhwbndnd
دسته‌دسته	Handful	dsthdsth
رنجدیدگانِ	The sufferers	rnjdydgni
همکارانش	His colleagues	hmkhrnsh
عمومی	General	`mwmy
شب‌هنگام،	At night,	shbhngm,
گشودیم،	We opened it,	gshwdym,
نیافتیم	We did not find	nyftym
