og	and
Kobberhjul	Copper wheel
Kobberdøre	Copper doors
Kobbercymbler	Copper cymbals
Kobberbjerge	Copper Mountains
Kobberaksler	Copper shafts
Kob	Purchase
Knyt	Tie
Knundskab	Knowledge
Knnge	King
Knipper	Knots
Knevler	Gags
Kna	Knee
Kløftvejene	The canyon roads
Kløftvejen	The Gorge Road
Kløfterne	The Gorges
Kløftens	The gorge
Klændebon	Clothing voucher
Klædene	The clothes
Klædekammeret	The dressing room
Klopas	Clopas
Klogskabs	Wisdom
Klogskaben	Wisdom
Kloes	Claws
Klodebon	Globe
Klippers	Clippers
Klipperevnerne	The rock cracks
Klippekløfter	Cliffs
Kleinmodige	Shy
Klases	Class
Klangbasunerne	The sound trumpets
Klagesangene	The Lamentations
Klages	Complain
Klagerøst	Complaint
Klageraab	Cry of complaint
Klagekvinder	Lamentations
Kkonger	Kings
Kjødtavler	Meat boards
Kjøbmandskab	Purchasing staff
Kjøbmand	Merchant
Kjøbehuus	Shopping center
Kjærlighedsmaaltider	Love meals
Kjundgjøre	Announcing
Kjerligheden	Love
Kjerlighed	Love
Kjeppe	Great
Kjendelse	Ruling
Kjelder	Basements
Kivevand	Kiwe water
Kivagtighed	Arrogance
Kislot	Kisslot
Kishons	Kishon
Kishonfloden	Kishon River
Kirjoths	Kirjoth
Kirjot	Kiryot
Kirjathama	Kiryathama
Kirjathajim	Kiriathaim
Kirjatajimsletten	Kirjathaim Plain
Kippur	Yom Kippur
Kios	Kiosk
Kintræer	Chin trees
Kintræ	Chin tree
Kindtanden	The molar
Kimhams	Kimham's
Kilderund	Source round
Kildegrund	Source
Kidons	Kidon
Kiddet	The kid
Kibsajim	Kibzaim
Kerubens	Cherubs
Kerijots	Kerioth
Kerijot	Kerioth
Kerijjot	Kerijyot
Keniternes	The Kenites
Keniterens	The Kenite
Kenisiter	Kenizzites
Kemuels	Kemuel's
Keldaj	Kelday
Kefas	Cephas
Kazin	Casino
Kauda	Cauda
Kattat	Cattat
Kastevaaben	Throwing weapon
Kastanietræerne	The chestnut trees
Kastanie	Chestnut
Kasj	Cash
Karta	Map
Karnajim	Karnaim
Karmiternes	The Carmites
Karmis	Carmine
Karmesin	Crimson
Karmeliten	The Carmelite
Karmelbjergets	Mount Carmel
Karles	Karl's
Karlene	The men
Karene	The guys
Karbunkelstene	Carbuncles
Kanelbark	Cinnamon bark
Kaneelbark	Cinnamon bark
Kandskab	Knowledge
Kanderne	The pitchers
Kandakes	Candace
Kananitten	The Canaanite
Kananiters	Canaanites
Kananit	Canaanite
Kanaiten	The Kanai
Kampleg	Fighting game
Kammert	Chambered
Kammerne	The chambers
Kamene	The combs
Kamelsaddel	Camel saddle
Kamelhoppe	Camel mare
Kamelhaar	Camel hair
Kameelhaar	Camel hair
Kalvens	The calf's
Kalvefod	Calf's foot
Kallunet	The calluses
Kalkstene	Limestones
Kalebiter	Kalebites
Kaldæerrles	Caldæerrles
Kaldæermes	Caldærmes
Kaldæeren	The Chaldean
Kaldæelne	Cold weather
Kaiser	Emperor
Kahathiterne	The Kohathites
Kahathiterens	The Kohathite
Kahat	Kohath
Kahahiternes	The Kahahites
Kaftorer	Caphtorians
Kaftor	Caphtor
Kafthoriterne	The Caphtorites
Kafthorer	Caphthors
Kafthor	Caphtor
Kadmoniter	Kadmonites
Kadeshørkenen	The Desert of Kadesh
Kab	Cable
Kaardestik	Carding
Kaar	Kar
Kaaberne	The Capes
Kaaben	The Cape
Kaabe	Cape
KIæder	Leather
KIagesang	Klya Song
Jødindes	Jewish woman
Jødinde	Jewess
Jórdens	Jordan's
Jæsers	Jaser's
Jægerens	The hunter's
Juæa	Yes
Juta	Jute
Jupiters	Jupiter's
Julias	Julia's
Judæaområdet	Judea area
Judus	Judas
Judit	Judith
Judastammens	The tribe of Judah
Judarigets	Kingdom of Judah
Jrusalem	Jerusalem
Jotbatha	Jotbathah
Josifjas	Josephus
Joshijas	Joshiah
Joshija	Joshiah
Joshibja	Joshibiah
Joshe	Josh
Joshavja	Joshua
Josesʼ	Joses
Joseb	Joseph
Josavja	Josiah
Josakar	Josakhar
Josadaks	Josadax
Jorskjælv	Earthquake
Jornfruen	The Lady of the Forest
Jorkeam	Yorkeam
Jordskorpen	The Earth's crust
Jordskjælvet	The earthquake
Jordklumperne	The clods of earth
Jorderig	Earthy
Jordenskjalv	Earthquake
Jordeklæder	Earthenware
Jordegodt	Good soil
Jordboen	The Earthling
Jordbegsgruber	Soil pits
Jordbeg	Earth pitch
Jordanflod	Jordan River
Jonans	Jonan's
Jona	Jonah
Jomfrustands	Virginity
Joldens	Jolden's
Joksans	Joksan
Jojaribs	Jojarib's
Jojakizn	Jehoiachin
Johs	John
Johanne	Johanna
Jofes	Joseph
Jofephs	Joseph's
Joden	The Jew
Jodanen	The Jordan
Jodaja	Jehoiada
Joah	Yeah
Jizzija	Jizziah
Jizreʼelflodens	The Jezreel River
Jizrachs	Jizrach's
Jizehariternes	The Jizeharites
Jizdith	Yizdith
Jithriter	Jithrites
Jisvi	Yisvi
Jisuiternes	Jesuits
Jissijas	Jissiah's
Jisrehiten	The Jizrehit
Jisreelit	Jezreelite
Jisreela	Jezreel
Jisrajas	Yisra's
Jisraja	Jizrahi
Jismeraj	Jismeraij
Jismakja	Jismakhia
Jismaja	Jismaya
Jismael	Ishmael
Jisma	Jesma
Jimnas	Gymnas
Jimnaiternes	The Jimnaites
Jiftha	Jephthah
Jezeriternes	The Jezerites
Jesrusalem	Jerusalem
Jesreels	Jezreel
Jesraja	Jesraya
Jesohaja	Yesohaja
Jesod	Yesod
Jesisaj	Yesisaj
Jesija	Yesia
Jeshohaja	Yeshohaja
Jeshishaj	Yeshishai
Jeshajahu	Yeshayahu
Jesfais	Yesfais
Jeseriternes	The Yeserites
Jesebab	Yeshuabab
Jesanja	Yesanja
Jesallja	Yesalya
Jerusulem	Jerusalem
Jerusnlem	Jerusalem
Jeruslems	Jerusalem
Jeruselem	Jerusalem
Jerusalern	Jerusalem
Jernvæg	Iron wall
Jerntærskevogne	Iron threshing wagons
Jerntærskeslæder	Iron threshing sleds
Jernstil	Iron style
Jernspir	Iron spire
Jernslaaer	Iron bars
Jernsener	Iron tendons
Jernsalems	Iron Salem
Jernrustning	Iron armor
Jernpille	Iron pill
Jernpantsere	Iron armor
Jernpande	Iron pan
Jerngriffel	Iron stylus
Jernets	Iron
Jernbolte	Iron bolts
Jerimoths	Jerimoth's
Jerikó	Jericho
Jerikosletten	Jericho Plain
Jeriia	Jeriya
Jerichos	Jericho
Jeremjas	Jeremiah
Jereds	Jared
Jerameeliternes	The Jerahmeelites
Jerahmeʼels	Jerahmeel
Jerahmeeliterne	The Jerahmeelites
Jephta	Jephthah
Jelusalem	Jerusalem
Jekutiel	Jekuthiel
Jehubba	Jehubbah
Jehoʼadda	Jehoʼaddah
Jehoshuas	Jehoshua's
Jehiskias	Hezekiah
Jehija	Yehija
Jehasiels	Jehaziel
Jedid	Jedidiah
Jeddis	Jedis
Jedajas	Jedaiah
Jebusitrne	Jebusites
Jebusiternes	The Jebusites
Jeberekjas	Jeberechiah
Jeberekias	Jeberechiah
Jeateraj	Jaateraj
Jearimbjergets	Mount Jearim
Jdumæa	Jdumaea
Jaʼazija	Jaʼaziah
Jaʼasaj	Jaʼasay
Jaʼareshja	Yaʼareshja
Jaʼakoba	Jacob
Jaʼakans	Jaʼakan
Jaʼadda	Yes, yes.
Jaziz	Jazz
Jazeeliternes	The Jazeelites
Jatthir	Jattir
Jasubiternes	The Jasubites
Jaspissteen	Jasper stone
Jasens	Jasen's
Jannas	Janna's
Jaminiternes	The Jaminites
Jamaj	Jamaica
Jaleʼel	Jaleel
Jaleeliternes	The Jaleelites
Jakiniternes	The Jachinites
Jakan	Jacket
Jairusʼ	Jairus
Jairiteren	The Jairite
Jai	Yes
Jahzeja	Jahzeya
Jahves	Yahweh
Jahleʼel	Jahleel
Jahasiel	Jahaziel
Jaflethiternes	The Japhletites
Jadas	Jada's
Jadaj	Yes, yes.
Jaboks	Jabox
Jaasanias	Jaazaniah
Jaars	Years
Jaare	Years
Jaan	John
Jaakoba	Jacob
Iøgnagtig	False
Iøber	Open
Iærer	Teacher
Iægge	Lay
IØren	The Ear
Ituræa	Ituraea
Italiens	Italy's
Iszaels	Israel
Istemmer	Ice voices
Istandsættelse	Repair
Isstykker	Ice cubes
Isralels	Israel
Isr	Israel
Isopstengel	Hyssop
Ismæliterne	The Ishmaelites
Ismæl	Ice cream
Ismaeliter	Ishmaelites
IsmaeI	Ismael
Ischariot	Iscariot
Isarks	Isaac's
Isarels	Israel
Isareela	Israel
Isachars	Issachar
Isaaks	Isaac's
Irs	IRS
Iraels	Israel
Invester	Invest
Instrumenterne	The instruments
Insigt	Insight
Indvoldenes	The intestines
Indvielsens	The inauguration
Indtegner	Subscriber
Indskærp	Inculcate
Indsigts	Insightful
Indsatsen	The effort
Indretninger	Facilities
Indkald	Call
Indhegningerne	The fences
Indgangene	The entrances
Indbyggertallet	Population
Immanuels	Immanuel's
Illyrien	Illyria
Ildstøtter	Fire supports
Ildmur	Firewall
Ildkarret	The fiery furnace
Ildgnister	Sparks
Ildbækkenet	The Fire Basin
Ildbryde	Firebreak
Ilbudene	The Fire Brigade
Ikkes	Not at all
Iing	Nothing
Iigesom	Same as
Iiendeparter	Other parties
Ihukommelsesofret	Memorial offering
Ihukommelsesbog	Memory book
Ignorer	Ignore
Iglen	The leech
Igjenløselses	Redemption
Igjenfødselsens	Rebirth
Igjenfødelsen	The Rebirth
Ieder	Every
Idumæa	Idumea
Iconien	Iconium
Iannammede	Accepted
Ianameel	Ianmeel
Iadet	Allowed
Iaaks	Yes, yes.
Høvlene	The planes
Høvedmands	Chief Judge
Høvdingerne	The chiefs
Høstofferet	The hayloft
Høstmand	Harvester
Høstdag	Harvest Day
Høskrækkerne	The Haystacks
Hørstilkene	The flax stalks
Hørgarnsnor	Flax twine
Højtidsofferet	The Feast Sacrifice
Højtidsforsamlinger	Festive gatherings
Højtidsdage	Holidays
Højtids	Holiday
Højtidens	Holiday
Højsangen	The Song of Songs
Højs	High
Højhedens	Highness's
Høitidsdag	Holiday
Høitider	Holidays
Høitidens	Holiday
Høilovedes	Dearly beloved
Høihød	Haystack
Høiene	The hills
Høiden	The hill
Høide	Height
Høgelse	Elevation
Høade	Head
Hævelser	Swellings
Hævelsen	The swelling
Hæste	Horses
Hærskares	Army
Hærskaren	The army
Hærførernes	The commanders
Hærenes	The armies
Hænær	Henna
Hængekøjen	The hammock
Hændernes	Hands
Hælp	Help
Hægter	Hooks
Hædersmænd	Honorary Men
Hæderligere	More honorable
Håndværkerdalen	Craftsmen's Valley
Håndskrifterne	The manuscripts
Hyttes	Cabins
Hyrdetaarn	Shepherd's Tower
Hyrderlie	Shepherd's hut
Hyrdeposen	The shepherd's bag
Hyrdefløjten	The Shepherd's Whistle
Hyasinth	Hyacinth
Hvorleeles	How are you?
Hvorfore	Why?
Hvivklæderne	The white robes
Hvite	White
Hvirvelvindens	The whirlwind
Hvirvelvinde	Whirlwind
Hvilvelvind	Hvilvelwind
Hvilestedet	The resting place
Hvilehus	Rest house
Hvileaars	Rest years
Hvidløgene	The garlic
Hvedens	Wheat
Hvedekornet	Wheat grain
Hvededynge	Wheat heap
Hvalfiskens	Whale's
Huussvende	Housekeeper
Huussvend	Housekeeper
Huusholderen	The housekeeper
Huusbondens	The landlord
Huues	Home
Hutrus	Hatrus
Husvalelses	Housewarming
Hustruerne	The wives
Hustruens	Wife's
Hushovmestre	Housekeepers
Hushonden	The house dog
Husgudernes	The household gods
Husdørene	The house doors
Husajs	Husayn
Husabja	Housewife
Hurtigskrivers	Speed ​​typing
Huppa	Huppah
Hunns	Female
Hundlede	Dog sledding
Hundefortjeneste	Dog profit
Hundederne	The dogs
Hundede	Dogged
Hunblevne	She remained
Hunber	Male
Hulninger	Perforations
Hulmaalet	The hole measurement
Hulmaal	Hole size
Hulernes	The caves
Huggejern	Chisel
Hufamiternes	The Huphamites
Huers	Hats
Hudstrygelser	Skin strokes
Hr	Mr.
Hovmodigheds	Arrogance
Hovet	The head
Hovedsummen	The main sum
Hovedstæderne	The capitals
Hovedstrømme	Main streams
Hovedsagen	The main issue
Hovedpynte	Headpiece
Hovedprydelse	Head ornament
Hovedpande	Main forehead
Hovedolien	The main oil
Hovedklæderne	The headgear
Hovedhjørnestenen	The cornerstone
Hovedhaaret	The head hair
Hovedede	Headed
Hovedbeklædningen	The headgear
Hovedbaandene	The headbands
Hovedbaand	Headband
Hovdet	The head
Hoshea	Hosea
Hoshama	Hosham
Hosaja	Hosahiah
Horons	Horon's
Horonitens	Horonites
Hornslange	Horned snake
Hornblæseren	The Hornblower
Horkvinderne	The Harlots
Horkvinder	Adulteresses
Horkvindens	The adulteress's
Horkvinden	The adulteress
Horkarlene	The adulterers
Horitternes	The Horites
Horiter	Horites
Horestykke	Whore
Horeris	Whore
Horen	The whore
Horekippen	The Whore's Cock
Horehuset	The whorehouse
Horebarn	Whore
Hordens	Horden's
Hoje	High
Hofteskaalen	The hip scale
Hoffærdigheds	Courtesy
Hoffets	Court's
Hofbetjenten	The court officer
Hoerkvinder	Whores
Hodevas	Head wash
Hodes	Head
Hodavias	Hodavia's
Hodajeva	Hodayeva
Ho	Hay
Hjørnepiller	Corner pillars
Hjørneindhegninger	Corner enclosures
Hjælps	Help
Hjælpetropperne	The relief troops
Hjælperen	The Helper
Hjorder	Herds
Hjordens	The herd
Hjerternes	Hearts
Hjertekvide	Heartburn
Hjertedybet	Deep in the heart
Hjemfør	Take home
Hjelte	Hero
Hizki	Hezekiah
Hirnle	Brain
Hirarm	Hiram
Himrnelen	The sky
Himmmelen	The sky
Himmlelen	The sky
HimmerigesRige	Kingdom of Heaven
Himmeltegnene	The signs of the sky
Himmellys	Skylight
Himmelkorn	Sky grain
Himmeles	Heaven's
Himmeler	Skies
Himmelbrød	Heavenly bread
HimmeIen	The sky
Himlnelen	The sky
Hilsens	Greetings
Hilnmelen	The sky is blue
Higen	Desire
Hiddtil	So far
Hiaggaj	Higgay
Hezróniternes	Hezronites
Hezoniternes	The Hezonites
Hezjon	Hezion
Hevner	Avenger
Hevnens	Of revenge
Hevnen	The Revenge
Hevn	Revenge
Heviternes	The Hivites
Heviten	The Hewitt
Hetrliter	Hectare
Hethithernes	Hittites
Hesteportens	Horse Gate
Hestehove	Horse hooves
Hesmon	Heshmon
Hesions	Hesion
Hesbonl	Heshbon
Herte	Deer
Herskerstaven	The scepter
Herskermagt	Sovereignty
Herretyve	Burglars
Herrernes	Men's
Herolden	The Herald
Hermonbjergets	Mount Hermon
Herliggjortes	Glorified
Herespasset	The Herespass
Heresbjerget	Heresberg
Heodias	Heodia
Henvend	Contact
Henstandsaarets	The year of grace
Henstandsaaret	The grace period
Hensmeltede	Melted
Heninger	Henninger
Hendingerne	The events
Hemmellgheder	Secrets
Hemmeligheds	Secret
Hemmeligheders	Secrets
Hemam	Home
HelÀskerstav	Healing staff
Helvedets	Hell's
Heloffer	Whole offering
Helligånds	Holy Spirit
Helligiommens	Saint George's
Helligdorns	Holy Thorns
Helligdommene	The shrines
Helligdagsklæderne	The holiday clothes
Helligdagsklæder	Holiday clothes
Helleluja	Hallelujah
Helkaj	Hello
Helha	Hello
Helge	Hello
Helekiternes	The Helekites
Helbredelsestegn	Healing signs
Heher	Hehe
Heferiternes	The Hepherites
Hedrlingerne	The Honorable Mentions
Hednintiernes	The Pagan Nineties
Hedninrerne	The Pagans
HedningersVederstykkeligheder	Pagan Weather Oddities
Hedningerries	Pagans
HedningernesGalilæa	Galilee of the Gentiles
Hedningeriger	Pagan kingdoms
Hedningelande	Gentile countries
Hedninernes	The pagans
Hedninbefolks	Pagan people
Hederningerne	The Hedernings
Hebroniters	Hebronites
Hebroniternes	The Hebronites
Hebrondalen	Hebron Valley
Hebentræet	The ebony tree
Hebeiternes	The Hebeites
He	Hey
Hazlelponi	Hazelpony
Hazer	Haze
Hazaels	Hazael
Havuhyrernes	Sea monsters
Havran	Raven
Haves	Have
Havens	The garden
Havehuset	The Garden House
Havdyrs	Marine animals
Havbugter	Bays
Hattikon	Hat icon
Hatat	Hated
Hasor	Hazor
Hashums	Hashum
Hashbaddana	Hashbadana
Hashabna	Hashabnah
Hasems	Hashem's
Harufiten	The Harufite
Harpetoner	Harpetons
Harpespilleren	The Harpist
Harpes	Harps
Harperne	The harps
Haroriten	The Harorite
Harmens	Harm's
Harmen	The resentment
Hareths	Hareth's
Haresets	Hares's
Hareseths	Hareseth's
Harariteren	The Hararite
Harans	Haran
Hanukka	Hanukkah
Hanokiternes	The Hanokites
Hannathon	Hannah
Hanenjas	Male's
Handelsmændene	The merchants
Handels	Trade
Handelers	Traders
Hananels	Hananel's
Hamuliternes	The Hamulites
Hamrene	The hammers
Hammethoar	Hammetthor
Hammerkak	Hammer cake
Hammeren	The hammer
Hammedata	Hammer data
Halsmusklerne	The neck muscles
Halskæderne	The necklaces
Halsben	Collarbone
Halohes	Hello
Hakken	The pickaxe
Hakkatans	Hakkatan
Hail	Hello
Hagris	Piglet
Haggiternes	The Haggits
Haggija	Haggia
Hagelens	Hagel's
Hagbaj	Hagbay
Hagars	Hagar's
Hagariten	The Hagarite
Hafizez	Hafiz
Hadlaj	Hadlay
Hadlads	Hatred
Haders	Haters
Hadas	Hades
Haarsæk	Hair follicle
Haarprydelse	Hairdressing
Haarfletninger	Braids
Haarfletning	Hair braiding
Haardnakkethed	Stubbornness
Haap	Hope
Haandværksmænd	Craftsmen
Haandstav	Hand staff
Haandskrift	Handwriting
Haandsbred	Hand's breadth
Haandklæder	Towels
Haandhid	Handicapped
Haandevending	Turn of the hand
Haalet	The haul
Haa	Haha
Gæstebudssalen	The banquet hall
Gæstebudshuset	The Guest House
Gæstebudsdagene	The banquet days
Gærdet	The fence
Gyveltræets	The broom tree
Gyldenstykke	Gold piece
Gurpasset	The Gurpass
Guniternes	The Gunites
Gummer	Gums
Guldæbler	Golden apples
Guldtungen	The Golden Tongue
Guldtunge	Golden tongue
Guldsekler	Gold shekels
Guldsager	Gold cases
Guldrør	Gold pipe
Guldrøgelseskar	Golden censer
Guldprydelse	Gold decoration
Guldovertræk	Gold plating
Guldlysestagerne	The golden candlesticks
Guldlamper	Gold lamps
Guldlampen	The Golden Lamp
Guldkroner	Gold crowns
Guldkrandt	Gold-crowned
Guldkeruberne	The Golden Cherubim
Guldkarrene	The gold pots
Guldhovedet	The Golden Head
Guldguder	Gold gods
Guldbækkener	Gold cymbals
Guldbægene	The Golden Cups
Guldbelter	Gold belts
Guldbelte	Gold belt
Guldalter	Golden Altar
Gudshuses	Churches
Gudshjerge	God's Heart
Gudsfrygtigheds	Godly
Gudsdyrker	Worshiper
Gudi	Good
Gudfrygtigheden	Godliness
Gudesøns	Godson
Guddoms	Divinity
Guddommens	The Godhead
Guddommen	The Deity
GuIdtøjet	The Goldsmith
Græsøksne	Grasshopper
Græssets	Grass
Græskarrene	The pumpkins
Græskarhave	Pumpkin garden
Græshoppeplagen	Locust plague
Græsbunden	Grassy ground
Græsbang	Grasshopper
Græsbane	Grass pitch
Grænsestæder	Border towns
Grændse	Border
Græn	Green
Grækers	Greeks
Grækenlaads	Greeks
Grædeegen	Weeping oak
Grædedagene	The Crying Days
Grushob	Gravel pile
Grusdyngerne	The gravel piles
Grundvoldene	The foundations
Grundvoldende	Fundamental
Grundreglen	The basic rule
Grundporten	The basic gate
Grundforbedringen	The basic improvement
Grumheds	Cruelty
Grueligheder	Atrocities
Grubens	The mine
Grenes	Branches
Grenen	The branch
Gravhøjen	The burial mound
Gransk	Examine
Grandskere	Grandmasters
Granattræs	Pomegranate tree
Granattræet	The pomegranate tree
Graadseg	Crying
Graadighed	Greed
Graadens	The cry
Graaden	The cry
Gozanfloden	Gozan River
Gomoriters	Gomorrah
Gomoras	Gomorrah
Goddægtighed	Kindness
Goddædigheds	Charity
Goddædighed	Kindness
Gnisterne	The Sparks
Glædeslyd	Sound of joy
Glædesklang	Sound of joy
Glædesdage	Happy days
Glindsende	Shiny
Glenter	Kites
Glarhavet	The Clear Sea
Glandsen	The gland
Gjødning	Fertilization
Gjæld	Debt
Gjestfrihed	Hospitality
Gjerningre	Crimes
Gjerningernes	The deeds
Gjerningens	The deed
Gjerningen	The deed
Gjerderne	The fences
Gjenvordigheder	Recurrences
Gjenstridighed	Reluctance
Gjennemreisende	Passing through
Gjenløsnings	Redemption
Gjenløsning	Redemption
Gjengjældelsen	The Retaliation
Givat	Gift
Gitthajim	Gittajim
Githiterne	The Gittites
Githitererr	Githitererrr
Githitens	Githit's
Githiten	The Githite
Gispa	Gaspa
Gisonitens	Gisonite's
Girsiterne	The Girsites
Girgasitens	The Girgashites
Girgarsiter	Girgarsites
Ginnetoj	Ginnetoy
Gilgals	Gilgal
Gileaditerne	The Gileadites
Gilder	Guilds
Gihons	Gihon
Gihondalen	Gihon Valley
Giftdruer	Poisonous grapes
Gidslerne	The hostages
Gidion	Gideon
Gideom	Gideon
Gibliternes	The Giblites
Gibliterne	The Giblites
Gibeoniternes	The Gibeonites
Gibeonhøjen	Gibeon Hill
Gibeondammen	Gibeon Dam
Gibeathiten	The Gibeathite
Gibbars	Gibbers
Gibbar	Gibberish
GiIgaI	Gilgal
Gesuriter	Geshurites
Geshurs	Geshur
Gersoniten	The Gersonite
Gernings	Crimes
Gergeseners	Gergesenes
Genvordigheder	Troubles
Gensvar	Reply
Genparten	The copy
Genoprettelsen	The Restoration
Genopliv	Revive
Gennembhud	Through the skin
Genløsningsaar	Redemption year
Genløning	Repayment
Genfærdets	The apparition
Genforeningen	The reunion
Genezareth	Gennesaret
Gemarias	Gemariah
Gellebygningerne	The Gelle buildings
Gehazis	Gehazi's
Gedrene	The goats
Gedolims	Gedolim
Gedidiene	The Gedidit
Gedeskindet	Goatskin
Gedertræet	The Goat Tree
Gedersøjler	Goat columns
Gederplanker	Goat planks
Gederothaim	Gederothaiim
Gederotajim	Gederothaim
Gederiten	The Gederite
Gederbjælker	Goat beams
Gederathiten	The Gederathite
Gedehuk	Goat squat
Gedehjorde	Herd of goats
Gedehamser	Hornets
Gedehaarene	The goat hair
Gedebukkene	The goats
Gedareners	Gedaren's
Gebims	Bims
Gebim	Teeth
Gebals	Gebal
Gaʼashkløften	The Gaʼash Gorge
Gaziterne	The Gazites
Gaziter	Gazites
Gavers	Gifts
Gaveboven	Gift box
Gathiter	Gathites
Gasa	Gaza
Garvers	Tanners
Garnene	The yarns
Garmiten	The Garmite
Gamliels	Gamliel's
Gamaliels	Gamaliel's
Galiæa	Galilee
Galilæs	Galilee
Galilæasøens	The Sea of ​​Galilee
Galil	Galilee
Galenskab	Madness
Galbane	Galbanum
Galaterne	Galatians
Galater	Galatians
Gaditernes	The Gadites
Gaditeren	The Gadite
Gaditen	Gadite
Gadeskarn	Street garbage
Gabbaj	Gabbay
Gaardene	The farms
Gaarde	Farm
Gaadetaler	Riddler
Gaader	Riddles
Førstegrøderne	The first crops
Førers	Driver's
Fønikiens	Phoenician
Føndder	Found
Fødsessmerte	Labor pains
Fødselssmerte	Labor pain
Fødsels	Birth
Fødselen	The birth
Fæstningernes	The fortresses
Fæs	Face
Færgen	The ferry
Fængselsklæder	Prison clothes
Fængselhuset	The prison house
Fæelre	Feelings
Fædrenelovs	Father's Day
Fædrenehuset	The ancestral house
Fædrenehusenes	The ancestral houses
Fædrende	Springing
Fædr	Father
Fåreavlerens	Sheep farmer
Fyrten	The lighthouse
Fyrstinderne	The Princesses
Fyrstespir	Scepter
Fyrstene	The princes
Fyrstendoømmer	Principalities
Fyrstendom	Principality
Fyrstedømmer	Principalities
Fyrretræerne	The pine trees
Fyrreplanker	Pine planks
Fylster	Fillers
Fyldingene	The fillings
Fylden	The filling
Fyldelsesofret	The offering of the fullness
Fyldelsesoferet	The filling offering
Furen	The furrow
Funiternes	The Funites
Fuls	Full
Fulgle	Birds
Fuldmaanedagen	Full moon day
Fuldmaane	Full moon
Fuldkommelses	Perfection
Fuglefængers	Birdcatchers
Fuglefængernes	The birdcatchers
Frøet	The seed
Frænke	Frankie
Frændskab	Kinship
Frydesangs	Songs of Joy
Fryderaabene	The Joy Monkeys
Frydeangest	Anxiety
Frugtsæsonen	Fruit season
Frugtsamling	Fruit collection
Frugtrsommelige	Fertile
Frugthaves	Orchard
Frugthaven	The orchard
Frugtens	The fruit
Fruen	The lady
Frosten	The frost
Frngt	Colorful
Frimodigheden	The boldness
