Chinese	Taiwanese	Sort	English
火舌	::ho2e-chi8h	chih 03a	flame, blaze
牛舌	::gu5-chi8h	chih 03b	ox tongue
豬舌	::ti-chi8h	chih 03c	pork tongue
折 ,斷	chi8h	chih 04	be broken (a thing with the measure of "ki")
支持不住	chih-cha3i be7-tia5u	chih chai be tiau	too heavy to bear (as a load or a disease)
舌尖	chi8h-chiam (chi8h-bo2e)	chih chiam	tip of the tongue
接待	chih-chiap	chih chiap	receive or wait upon a friend or customer, associate with, negotiate
斷成二段	chi8h cho3 nn7g ko8eh	chih cho nng koeh	be broken in two
摺成三摺	chih cho3 sa* a2u	chih cho sa* au	fold into three
摺紙	chih-cho2a	chih choa	fold paper
摺痕	chih-hu5n	chih hun	crease, a mark left by folding
失面子	chi8h-ia7ng	chih iang	lose face
舌根	chi8h-kin	chih kin	root of the tongue
舌苔	chi8h-ko+	chih ko+	coated tongue
探出舌頭	chi8h na7 chhut-la5i	chih na chhut lai	stick out the tongue
摺被	chih-pho7e	chih phoe	fold the quilt
摺衣服	chih-sa*	chih sa*	fold clothes
舌苔	chi8h-thai (chi8h-ko+, chi8h kiat-thai)	chih thai	coated tongue
舌根 ,舌頭	chi8h-tha5u	chih thau	the tongue, the root of the tongue
吻 ,親	chim	chim 01	kiss
你的臉這麼髒 ,我不敢吻你。	::Li2 e5 bi7n chiah-ni8h lah-sap, go2a m7-ka22* ka7 li2 chim.	chim 01a	Your face is so dirty, I don't dare kiss you.
親嘴	::chim-chhu3i (chim chhu3i-tu5n)	chim 01b	kiss the lips
親面頰	::chim chhu3i-phe2	chim 01c	kiss the cheek
吻戒指	::chim chhi2u-chi2	chim 01d	kiss the Bishop's ring
親苦像	::chim kho2+-sio7ng	chim 01e	kiss the crucifix
箴	chim	chim 02	probe, to warn
嬸	chi2m (a-chi2m)	chim 03	wife of a father's younger brother, an aunt
枕	chi2m	chim 04	pillow
浸	chi3m	chim 05	soak, to steep, soak in
蟳 ,蟹	chi5m	chim 06	crab
枕木	chi2m-bo8k (chi2m-bo8k-a2)	chim bok	railroad ties
仔細 ,小心	chim-chiok	chim chiok 01	careful, consider carefully, be cautious as in investigating well before acting, make sure
那個醫生看病人診察得很仔細。	::Hit e5 i-seng kho3a* pe7*-la5ng kho3a*-tio8h chin chim-chiok.	chim chiok 01a	The doctor examines patients carefully.
這樣子對不對 ? 你再去仔細瞧瞧。	::A2n-ne tio8h a2 m7-tio8h? Li2 koh khi3 ka7 i chim-chiok chi8t e7.	chim chiok 01b	Is that right? Go back to see him and make sure of it
浸酒	chi3m-chi2u	chim chiu	soak in liquor (medicine)
浸水	chi3m-chu2i	chim chui	soak in water
箴言	chim-gi5an	chim gian	proverbs, maxims
蟳仁	chi5m-ji5n	chim jin	crab roe
蟳殼	chi5m-khak	chim khak	crab shell
水柿	chi3m-khi7	chim khi	hard persimmon
蟹 (蟳 )黃	chi5m-ko	chim ko	soft yellowish meat in the male crab
浸禮	chi3m-le2	chim le	baptism by immersion
浸禮教 ,浸信會	chi3m-le2-ka3u (Chi3m-si3n-ho7e)	chim le kau	Anabaptists, Baptist church or system
現在	chi2m-ma2	chim ma	now, just
嬸奶奶	chi2m-po5	chim po	wife of paternal grandfather's younger brother
浸信會	Chi3m-si3n-ho7e	chim sin hoe	Baptists
浸肥皂水	chi3m soat-bu5n-hu2n	chim soat bun hun	soap in soap suds
浸濕	chi3m-ta5m	chim tam	wet, drenched, soaked
浸透	chi3m-tha3u	chim thau 01	soak thoroughly
沒浸透	::chi3m bo5 tha3u	chim thau 01a	not soaked through
枕頭	chi2m-tha5u	chim thau 02	pillow
枕邊細語	chi2m-tha5u-hi5an	chim thau hian	pillow talk of a female companion, slanders or flatteries (Lit. Chinese fiddle played by one's pillow companion)
枕套	chi2m-tha5u-lo5ng	chim thau long	pillow case
枕頭套	chi2m-tha5u-tho3	chim thau tho	open ended pillow case
真	chin	chin 01	true, real, factual, genuine, actual, substantial, really
升	chin	chin 02	pint
一升米	::chi8t chin bi2	chin 02a	one pint of rice
量米器	::bi2-chin	chin 02b	small rice measure
震	chi2n	chin 03	shake, to tremor like an earthquake, excite, to shock, scared, terrified
地震	::te7-chi2n (te7-ta7ng)	chin 03a	earthquake
診	chi2n	chin 04	examine diseases or ailment, diagnose
急診室	::kip-chi2n (-sek)	chin 04a	emergency, emergency room
門診部	::mn5g-chi2n-po7+	chin 04b	OPD, outpatient department
拯	chi2n	chin 05	save, deliver, raise, lift up
瞄 ,細看	chi5n	chin 06	aim one's gun, watch intently
仔細的看	::u5n-u5n-a2 chi5n	chin 06a	look at carefully
進	chi3n	chin 07	go ahead, proceed, to progress, offer advice or presents, improve, recommend, introduce, income
盡	chi7n	chin 08	exhaust, use up, to complete, to finish, accomplish, all, entirely, completely, wholly
真愛	chin-a3i	chin ai	true love, like very much
真面目	chin-bia7n-bo8k	chin bian bok	real face, true color, true character, the actual thing behind a false front
進退維谷	chi3n bo5 lo7+, the3 bo5 po7+	chin bo lo+	no way of escape backwards or forwards, a dilemma
最末端	chi7n-bo2e	chin boe	at the end
早已料到	chin-chai	chin chai 01	have a premonition
震災	chi2n-chai	chin chai 02	earthquake disaster
這次的震災死傷者有一百多個人。	::Chit pa2i e5 chi2n-chai si2-siong-chi2a u7 pah go7a la5ng.	chin chai 02a	In this earthquake there were over a hundred dead and injured
賑災	chi2n-chai (chi3n-chai)	chin chai 03	work for relief of victims of natural disaster
進財	chi3n-cha5i	chin chai 04	acquire riches, increase wealth
添丁進財	::thiam-teng chi3n-cha5i	chin chai 04a	get more sons and more wealth
取決於	chi7n-cha7i	chin chai 05	be decided by, depend on
成不成功取決於你自己的決心。	::E7 se5ng-kong a2 be7 si7 chi7n-cha7i li2 ka-ti7 e5 koat-sim.	chin chai 05a	Success or failure depend upon your determination.
完全看這次	::Chi7n-cha7i chit pa2i	chin chai 05b	It'll be decided this time. (This time will decide.)
真才實學	chin-cha5i si8t-ha8k	chin chai sit hak	truly learned, solid learning
膽壯	chin cha7i-ta2* (ta2*-tha5u cha7i)	chin chai ta*	very courageous
賑濟	chi2n-che3	chin che 02	relieve, to help
盡責任	chi7n chek-ji7m	chin chek jim	do one's duty
真情	chin-che5ng	chin cheng 01	actual happening of an incident, true state of affairs, real affections, sincerity
向前 ,前進	chi3n-che5ng	chin cheng 02	advance, go forward
盡情	chi7n-che5ng	chin cheng 03	one's heart's content, with the utmost kindness
盡情款待	chi7n-che5ng kho2an-tha7i	chin cheng khoan thai	treat with the utmost kindness
診察	chi2n-chhat	chin chhat	examine and observe the progress of a disease, diagnose
診察室	chi2n-chhat-sek	chin chhat sek	examining room (medical)
進取	chi3n-chhu2	chin chhu	forge ahead with effort, be aggressive as in jockeying for position
進取心	chi3n-chhu2-sim	chin chhu sim	aggressiveness, desire to get ahead, enterprising spirit
進出	chi3n-chhut	chin chhut	get in and out, incoming and outgoing, (in Taiwanese) marching out, advance
進出口商	chi3n-chhut-kha2u-siong	chin chhut khau siong	import export business
真正	chin-chi3a*	chin chia* 01	really, truly, genuine
真正美	::chin-chi3a* su2i	chin chia* 01a	really beautiful
這是真正的鑽石。	::Che si7 chin-chi3a* e5 so7an-chio8h.	chin chia* 01b	This is a genuine diamond.
真的不知道	::chin-chi3a* m7 chai	chin chia* 01c	really I don't know.
盡節	chi7n-chiat	chin chiat	die in defense of one's chastity
盡職	chi7n-chit	chin chit	fulfill the duties of one's office, having a sense of responsibility
進一步	chi3n chi8t po7+	chin chit po+	take one step ahead, move further ahead
振作	chi2n-chok	chin chok 01	bestir, exert oneself, stimulate
要振作點 ,不要失望。	::Ai3 khah chi2n-chok le, m7-thang sit-bo7ng.	chin chok 01a	Exert yourself, don't give up.
進駐	chi3n-chu7	chin chu 01	march troops to a place and garrison it
真珠	chin-chu	chin chu 02	real pearls
真珠港	Chin-chu-ka2ng	chin chu kang	Pearl Harbor
真珠灣	Chin-chu-oan	chin chu oan	Pearl Harbor
真珠項鍊	chin-chu phoa8h-lia7n	chin chu phoah lian	pearl necklace
真的	chin e5	chin e 01	true one
這是真的	::Che si7 chin e5.	chin e 01a	This is a true one.
他所說的是真的。	::I so2+ ko2ng e5 si7 chin e5.	chin e 01b	What he said is true.
盡義務	chi7n gi7-bu7	chin gi bu	do one's duty, work without pay
進言	chi3n-gia5n	chin gian 01	offer advice
盡言	chi7n-gia5n	chin gian 02	speak out, speak up, admonish without reserve
震源	chi2n-go5an	chin goan	epicenter
震撼	chi2n-ha2m (chi2n-hia2n)	chin ham	shake, shaken
稀客 ,好久沒有來	chin ha2n-ki5a*	chin han kia* 01	rear visit
今天真是稀客 ,是風吹你來的吧 !	::Li2 ki2n-na2-ji8t chin ha2n-ki5a*, si7 hong ka7 li2 chhoe-la5i e5, si7 bo5+?	chin han kia* 01a	You are here on a rare visit today, did the wind blow you in?
盡孝	chi7n-ha3u	chin hau	fulfill one's duty to parents
振興	chi2n-heng	chin heng 00	promote (industrial endeavor), to prosper
盡興	chi7n-he3ng	chin heng 01	enjoy to one's heart's content
進行	chi3n-he5ng	chin heng 02	advance, progress, move onward, proceed
工作有沒有在進行 ?	::Khang-kho3e u7 teh chi3n-he5ng bo5+?	chin heng 02a	How are you getting along with your work?
進行曲	chi3n-he5ng-khek	chin heng khek	march, martial music
進行式	chi3n-he5ng-sek	chin heng sek	progressive tense (in grammar)
進行中	chi3n-he5ng-tiong	chin heng tiong	progress, in operation, in action, be under way
真凶	chin-hiong	chin hiong	real culprit
進香	chi3n-hiu*	chin hiu* 01	offer incense, bring incense from a more sacred temple
進香客	::chi3n-hiu*-kheh	chin hiu* 01a	Buddhist pilgrim
進香團	::chi3n-hiu*-tho5an	chin hiu* 01b	group of Buddhist pilgrims
進化	chi3n-ho3a	chin hoa	evolve, evolution, to progress culturally
進化論	chi3n-ho3a-lu7n	chin hoa lun	Theory of Evolution (Darwin)
盡歡而散	chi7n-hoan ji5-sa3n	chin hoan ji san	leave only after each has enjoyed himself to the utmost
進貨	chi3n-ho3e	chin hoe	replenish the stock of a shop
真福	chin-hok	chin hok 01	true happiness
天堂的真福	::thian-to5ng e5 chin-hok	chin hok 01a	happiness of Heaven
真福八端	Chin-hok pat-toan	chin hok pat toan	Eight Beatitudes (Catholic)
盡付東流	chi7n-hu3 tong-li5u	chin hu tong liu	all in vain (Lit. all gone with the eastward stream)
振奮	chi2n-hu3n	chin hun	arouse to action, arouse, stimulate
真分數	chin hun-so3+	chin hun so+	proper fraction
真意	chin-i3	chin i 01	true or real intention
盡意	chi7n-i3	chin i 02	give full expression to one's ideas, to one's heart's content
進謁	chi3n-iat	chin iat	call on a superior
盡人情	chi7n ji5n-che5ng	chin jin cheng	do what friendship or other human relations dictate
真人真事	chin-ji5n chin-su7	chin jin chin su	the characters are real, and the story is true, this is a true story
盡人事	chi7n ji5n-su7	chin jin su 01	do everything one ought to do and hope that fate will take care of the rest
盡人事以聽天命	::chi7n ji5n-su7 i2 the3ng thian-be7ng	chin jin su 01a	do one's best and leave the rest to Heaven
進入	chi3n-ji8p	chin jip	enter
進港	chi3n-ka2ng	chin kang	make port, enter a harbor
真工夫	chin kang-hu	chin kang hu 01	true skill or accomplishment
很週到	chin kang-hu	chin kang hu 02	very thoughtful, do something carefully
真假	chin-ke2	chin ke	true and false, real and fake
真確	chin-khak	chin khak	accurate
進口	chi3n-kha2u	chin khau	enter a port, imports
進口貿易	chi3n-kha2u bo7+-e8k	chin khau bo+ ek	import trade
進口貨	chi3n-kha2u ho3e	chin khau hoe	imported goods
進口商	chi3n-kha2u siong	chin khau siong	importers
進口稅	chi3n-kha2u so3e	chin khau soe	import duty
進口稅率	chi3n-kha2u-so3e-lu8t	chin khau soe lut	import tariff
盡棄	chi7n-khi3	chin khi	all wasted, all in vain, all forgotten
全部看你的了	chi7n kho3a* li2	chin khoa* li	be decided by you, It is up to you.
真空	chin-khong	chin khong	vacuum
真空計	chin-khong-ke3	chin khong ke	vacuum gauge
真空吸塵器	chin-khong khip-ti5n-khi3	chin khong khip tin khi	vacuum cleaner
真空管	chin-khong-koa2n	chin khong koan	vacuum tube
真空管檢波器	chin-khong-ko2an kia2m-pho-khi3	chin khong koan kiam pho khi	vacuum valve detector
真空地帶	chin-khong te7-ta3i	chin khong te tai	region where no authority is exercised by any party, (military) no man's land
盡其所有	chi7n ki5 so2+ iu2	chin ki so+ iu	give all one has
盡其所能	chi7n ki5 so2+ le5ng	chin ki so+ leng	work to the best of one's ability
盡其所長	chi7n ki5 so2+ ti5ong	chin ki so+ tiong	work to the best of one's ability
進見	chi3n-ki3an	chin kian	call on a superior
真金不怕火	chin-kim put pha3* ho2e	chin kim put pha* hoe	men of abilities fear nothing, Truth is ultimately louder than lies or slanders. True loyalty can stand the test of adversity. (Lit. Pure gold is not afraid of being heated.)
進級	chi3n-kip	chin kip	get promoted in rank or grade
拯救	chi2n-ki3u	chin kiu 01	save, to rescue, deliver
拯救萬民	::chi2n-ki3u ba7n-bi5n	chin kiu 01a	save the nation
儘管	chi7n-ko2an	chin koan	even if
進攻	chi3n-kong	chin kong 01	make an assault
進貢	chi3n-ko3ng	chin kong 02	offer tribute (said of a vassal state)
進軍	chi3n-kun	chin kun	march troops to war, advance with military force
盡力	chi7n-la8t	chin lat	exert one's strength to the utmost
盡力	chi7n-le8k	chin lek 02	make efforts, exert oneself, do all one can, do one's best
盡力而為	chi7n-le8k ji5-ui5	chin lek ji ui	execute or perform with efforts, do one's best
真理	chin-li2	chin li	truth
真料	chin-lia7u	chin liau 01	genuine materials
診療	chi2n-lia5u	chin liau 02	diagnose and treat
診療室	chi2n-lia5u-sek	chin liau sek	doctor's consultation room
很接近	chin-li2m	chin lim	hardly enough
盡量	chi7n-lio7ng	chin liong	as much as possible, to the utmost
震怒	chi2n-lo7+	chin lo+	greatly infuriated, wrath, rage
全望	chi7n-n3g	chin ng	complete trust in
震耳欲聾	chi2n-ni2 io8k-lo5ng	chin ni iok long	deafening, earsplitting sound or voice
進房	chi3n-pa5ng	chin pang	enter the nuptial chamber (said of the bride)
進兵	chi3n-peng	chin peng	march troops forward, lead troops onward
真憑實據	chin-pi5n si8t-ki3	chin pin sit ki	concrete proof and genuine evidence, indisputable proof
進步	chi3n-po7+	chin po+ 01	progress
盡頭 ,絕境	chi7n-po7+	chin po+ 02	with no further resource, desperate spot, the end of one's rope, helpless situation
已到最後極限	chi7n-po7ng	chin pong	to the utmost
盡本分	chi7n pu2n-hu7n	chin pun hun	play one's proper role, do what one is supposed to do, no more, no less
真善美	chin-sia7n-bi2	chin sian bi	truth, goodness and beauty, true, good, and beautiful
盡善盡美	chi7n-sia7n chi7n-bi2	chin sian chin bi	perfectly satisfactory, perfectly good, flawless, perfect
盡心	chi7n-sim	chin sim 01	put all one's heart into it, devote one's full energy
真心	chin-sim	chin sim 02	from the bottom of one's heart, real or actual intention, sincere, sincerity
真心話	chin-sim-oe7	chin sim oe	sincere talk, words from the bottom of one's heart
真神	chin-si5n	chin sin	true God
真相	chin-sio3ng	chin siong 01	true aspect of something, the right aspect of a case, accurate information
研究那件事的真相。	::Gia2n-ki3u hit ha7ng ta7i-chi3 e5 chin-sio3ng.	chin siong 01a	To study the root of the matter.
再不久就會知道真相。	::Koh bo5 lo7a ku2, chin-sio3ng chi7u e7 chai-ia2*.	chin siong 01b	The truth will be out some day.
真相畢露	chin-sio3ng pit-lo7+	chin siong pit lo+	have one's true face or colors completely exposed
真相大白	chin-sio3ng ta7i-pe8k	chin siong tai pek	truth is out
真實	chin-si8t	chin sit	actual, true, truth, factual
真實性	chin-si8t-se3ng	chin sit seng	reliability, truthfulness
進修	chi3n-siu	chin siu	advance in studies, to study, learn
診所	chi2n-so2+	chin so+ 01	clinic, dispensary
盡數	chi7n-so3+	chin so+ 02	exhaust the whole amount
進士	chi3n-su7	chin su	successful candidate of the national civil service examination held at the imperial capital in former times
進臺經	Chi3n-ta5i-keng	chin tai keng	Introit of the Mass
真乩童	chin-ta5ng	chin tang	real spiritualist medium, sorcerer
賺多少 ,花多少。	chi7n-tha3n chi7n-khai	chin than chin khai	spend whatever one earns
盡頭	chi7n-tha5u	chin thau	extremity, the end
進退	chi3n-the3	chin the	advance or withdraw, to stay or quit a job, employ or fire a person
進退莫決	chi3n-the3 bo8k-koat	chin the bok koat	not knowing what course of action to take
進退與共	chi3n-the3 i2-kio7ng	chin the i kiong	cast one's lot with another person
進退兩難	chi3n-the3 lio2ng-la5n	chin the liong lan	be in a dilemma (to have difficulty going either forward of backward)
進呈	chi3n-the5ng	chin theng	offer or present something to a superior or an elder
真傳	chin-tho5an	chin thoan	true oral tradition
進展	chi3n-tia2n	chin tian	progress
盡忠	chi7n-tiong	chin tiong	do one's duty as a subject, be loyal to the ruler
盡忠報國	chi7n-tiong po3-kok	chin tiong po kok	be loyal and patriotic
進場	chi3n-ti5u*	chin tiu*	go into an examination room, a theater Sports arena
進堂詠	Chi3n-tn5g-e7ng	chin tng eng	Entrance Song of the Mass (Catholic)
進堂式	Chi3n-tn5g-sek	chin tng sek	Introductory Rites of the Mass (Catholic)
真道	chin-to7	chin to 01	true doctrine, right way or path
進度	chi3n-to7+	chin to+	degree of progress of work
進度表	chi3n-to7+-pi2o	chin to+ pio	work schedule
診斷	chi2n-toa3n	chin toan	diagnose a disease
診斷書	chi2n-toa3n-su	chin toan su	medical certificate, written diagnosis
震動	chi2n-to7ng	chin tong 01	vibrate, to shake, to move, be shocked or shaken
腦震盪	::na2u-chi2n-to7ng	chin tong 01a	concussion of the brain
