্নানি	Grandma	naani
সাজান	Sort	saajaan
সাজাতেন।	He used to decorate.	saajaaten / 
সাজাতেন	Decorated	saajaaten
সাজাতে	To decorate	saajaate
সাজাচ্ছেন।	Decorating.	saajaacchen / 
সাজাচ্ছে	Decorating	saajaacche
সাজাচ্ছ।	You are decorating.	saajaacch / 
সাজাও।	Decorate.	saajaao / 
সাজাও	Decorate	saajaao
সাজাইলেন।	Decorated.	saajaailen / 
সাজাইলেন	Decorated	saajaailen
সাজাইলে	Decorated	saajaaile
সাজাইল।	Sajail.	saajaail / 
সাজাইল	Sajail	saajaail
সাজাইয়াছে।	Decorated.	saajaaiyyaache / 
সাজাইয়াছি।	I have decorated it.	saajaaiyyaachi / 
সাজাইয়া	Decorate	saajaaiyyaa
সাজাইবে।	Will decorate.	saajaaibe / 
সাজাইবে	Will decorate	saajaaibe
সাজাইবার	To decorate	saajaaibaar
সাজাইব।	I will decorate.	saajaaib / 
সাজা	Sentence	saajaa
সাজসরঞ্জামের	Equipment	saajsrnyjaamer
সাজসরঞ্জাম।	Equipment.	saajsrnyjaam / 
সাজসরঞ্জাম	Equipment	saajsrnyjaam
সাজসজ্জায়	In decoration	saajsjjaayy
সাজসজ্জাগুলি	Decorations	saajsjjaaguli
সাজসজ্জা।	Decoration.	saajsjjaa / 
সাজসজ্জা	Decoration	saajsjjaa
সাজলে	In the morning	saajle
সাজবে	Will dress up	saajbe
সাজবার	Dressing	saajbaar
সাজপোষাকের	Dressmaker	saajpeaassaaker
সাজপোষাক	Dress	saajpeaassaak
সাজপোশাক	Dress	saajpeaashaak
সাজগোজ	Dressing	saajgoj
সাজ৷	Dress.	saaj4/
সাজ।	Dress.	saaj / 
সাজ	Dress	saaj
সাঙ্ঘাতিক	Terrible	saangghaatik
সাঙ্গোপাঙ্গদের	Companions	saanggeaapaanggder
সাঙ্গপাঙ্গও	Sangpang also	saanggpaanggo
সাঙ্গপাঙ্গ	Association	saanggpaangg
সাঙ্গ	Sanga	saangg
সাঙ্কেতিক	Symbolic	saangketik
সাংঘাতিকরূপে	Terribly	saaNghaatikruupe
সাংঘাতিকভাবে	Terribly	saaNghaatikbhaabe
সাংঘাতিক।	Fatal.	saaNghaatik / 
সাংঘাতিক	Fatal	saaNghaatik
সাগ্রহে	Eagerly	saagrhe
সাগরোপকুলবাসী	Seafarer	saagreaapkulbaasii
সাগরের	Of the sea	saagrer
সাগরেদেরা	Seafarers	saagrederaa
সাগরেও	Also in the sea	saagreo
সাগরেই	In the sea	saagrei
সাগরে।	In the sea.	saagre / 
সাগরে	At sea	saagre
সাগরস্থ	At sea	saagrsth
সাগরসমীপস্থ	Near the sea	saagrsmiipsth
সাগরযাত্রী	Seafarer	saagryaatrii
সাগরবেলার	Seaside	saagrbelaar
সাগরবেলায়	At sea	saagrbelaayy
সাগরবক্ষে	In the ocean	saagrbksse
সাগরতীরের	Seaside	saagrtiirer
সাগরতীরে।	On the beach.	saagrtiire / 
সাগরতীরে	On the seashore	saagrtiire
সাগরতীরবাসী	Seasiders	saagrtiirbaasii
সাগরটা	The sea	saagrttaa
সাগরজলের	Seawater	saagrjler
সাগরজলে।	In the sea.	saagrjle / 
সাগরজলে	In the sea water	saagrjle
সাগরগামী	Seagoing	saagrgaamii
সাগরগর্ভে।	In the ocean.	saagrgrbhe / 
সাগরকে	To the sea	saagrke
সাগরও	The sea too	saagro
সাগর।	Sea.	saagr / 
সাগর	Sea	saagr
সাখরের	Sakhar's	saakhrer
সাখর	Sugar	saakhr
সাক্ষ্যেরও	Also of testimony	saakssyero
সাক্ষ্যের	Testimony	saakssyer
সাক্ষ্যে	In testimony	saakssye
সাক্ষ্যানুসারে	According to the evidence	saakssyaanusaare
সাক্ষ্যাদি	Testimony	saakssyaadi
সাক্ষ্যস্বরূপ	As evidence	saakssysbruup
সাক্ষ্যস্তূপ	Evidence	saakssystuup
সাক্ষ্যসিন্দুকের	The Ark of the Testimony	saakssysinduker
সাক্ষ্যসিন্দুক	Ark of the Testimony	saakssysinduk
সাক্ষ্যসমূহে	In testimonies	saakssysmuuhe
সাক্ষ্যলিপি	Testimony	saakssylipi
সাক্ষ্যরূপে	As evidence	saakssyruupe
সাক্ষ্যবিহীন	Unverified	saakssybihiin
সাক্ষ্যপ্রস্তর	Testimony stone	saakssyprstr
সাক্ষ্যপ্রমাণ।	Evidence.	saakssyprmaann / 
সাক্ষ্যপ্রমাণ	Evidence	saakssyprmaann
সাক্ষ্যপুস্তক	Testimony	saakssypustk
সাক্ষ্যপাথর	Testimony stone	saakssypaathr
সাক্ষ্যপত্র	Testimony	saakssyptr
সাক্ষ্যদানের	Testimony	saakssydaaner
সাক্ষ্যদান	testimony	saakssydaan
সাক্ষ্যতাম্বু	Tabernacle	saakssytaambu
সাক্ষ্যকে	Testimony	saakssyke
সাক্ষ্যকলাপের	Testimony	saakssyklaaper
সাক্ষ্যকলাপ	Testimony	saakssyklaap
সাক্ষ্যকথায়	In testimony	saakssykthaayy
সাক্ষ্যকথা	Testimony	saakssykthaa
সাক্ষ্যও	Testimony too	saakssyo
সাক্ষ্যই	The testimony	saakssyi
সাক্ষ্য।	Testimony.	saakssy / 
সাক্ষ্য	Testimony	saakssy
সাক্ষের	Signature	saaksser
সাক্ষীহবে	Witness	saakssiihbe
সাক্ষীস্বরূপে	As a witness	saakssiisbruupe
সাক্ষীস্বরূপ।	As a witness.	saakssiisbruup / 
সাক্ষীস্বরূপ	As a witness	saakssiisbruup
সাক্ষীরূপে	As a witness	saakssiiruupe
সাক্ষীরাই	The witnesses	saakssiiraai
সাক্ষীরা	Witnesses	saakssiiraa
সাক্ষীর	Witness	saakssiir
সাক্ষীমেঘে	In the cloud of witnesses	saakssiimeghe
সাক্ষীদের	Witnesses	saakssiider
সাক্ষীদিগকে	To the witnesses	saakssiidigke
সাক্ষীতে	In witness	saakssiite
সাক্ষীগণ	Witnesses	saakssiignn
সাক্ষীকেও	The witness too	saakssiikeo
সাক্ষীকে	To the witness	saakssiike
সাক্ষীও	Witness too	saakssiio
সাক্ষী৷	Witness.	saakssii4/
সাক্ষী।	Witness.	saakssii / 
সাক্ষী	Witness	saakssii
সাক্ষিস্বরূপে	As a witness	saakssisbruupe
সাক্ষিমেঘে	In the cloud of witnesses	saakssimeghe
সাক্ষিগণের	Witnesses	saakssignner
সাক্ষিগণ	Witnesses	saakssignn
সাক্ষি	Witness	saakssi
সাক্ষাৎেই	At the meeting	saakssaaei
সাক্ষাৎে	At the meeting	saakssaae
সাক্ষাৎকারের	Interview	saakssaakaarer
সাক্ষাৎকার	Interview	saakssaakaar
সাক্ষাৎ।	Meeting.	saakssaa / 
সাক্ষাৎ	Meeting	saakssaa
সাক্ষাতের	Meeting	saakssaater
সাক্ষাতেও	Even in the meeting	saakssaateo
সাক্ষাতেই	In the meeting	saakssaatei
সাক্ষাতে।	In the meeting.	saakssaate / 
সাক্ষাতে	In the meeting	saakssaate
সাক্ষাত	Meeting	saakssaat
সাক্ষর	Literate	saakssr
সাক্ষ	Witness	saakss
সাকুল্যে	In general	saakulye
সাকাখা	Sakakha	saakaakhaa
সাকল্যে	In total	saaklye
সাকল্য।	All.	saakly / 
সাইলেসিয়ার	Silesia	saailesiyyaar
সাইলেসিয়ায়	In Silesia	saailesiyyaayy
সাইলেসিয়া	Silesia	saailesiyyaa
সাইলিসিয়া	Silesia	saailisiyyaa
সাইরিনি	Sirini	saairini
সাইরিনবাসী	Cyrene	saairinbaasii
সাইরিন	Cyrene	saairin
সাইরাসের	Cyrus	saairaaser
সাইরাসকে	To Cyrus	saairaaske
সাইরাস	Cyrus	saairaas
সাইরাকিউজ	Syracuse	saairaakiuj
সাইরসের	Cyrus	saairser
সাইপ্রেস	Cypress	saaipres
সাইপ্রাসের	Cyprus	saaipraaser
সাইপ্রাসে	In Cyprus	saaipraase
সাইপ্রাস।	Cyprus.	saaipraas / 
সাইপ্রাস	Cyprus	saaipraas
সাঁইত্রিশজন।	Thirty-seven people.	saaNitrishjn / 
সাঁইত্রিশজন	Thirty-seven people	saaNitrishjn
সাঁইত্রিশ	Thirty-seven	saaNitrish
সাইত্রিশ	Thirty-seven	saaitrish
সাইকমোরবনানী	Sycamore tree	saaikmeaarbnaanii
সহ্স্র	Thousand	shsr
সহ্যের	Tolerant	shyer
সহ্যর	Sahir	shyr
সহ্যনীয়	Tolerable	shyniiy'
সহ্যগুনে	Tolerable	shygune
সহ্যগুণের	Tolerance	shygunner
সহ্যগুণ	Tolerance	shygunn
সহ্যকরতে	To tolerate	shykrte
সহ্য	Tolerate	shy
সহ্গে	Together	shge
সহোদরেরা	Brothers and sisters	shodreraa
সহোদরের	Brother's	sheaadrer
সহোদরাকে	To my sister	sheaadraake
সহোদরা	Siblings	sheaadraa
সহোদরদের	Brothers and sisters	sheaadrder
সহোদরগণের	Brothers and sisters	sheaadrgnner
সহোদরগণ	Brothers and sisters	sheaadrgnn
সহোদরকে	To my brother	sheaadrke
সহোদর।	Brother.	sheaadr / 
সহোদর	Brother	sheaadr
সহৃদয়ভাবে	Kindly	shRdyybhaabe
সহৃদয়তা	Kindness	shRdyytaa
সহৃদয়	Kind-hearted	shRdyy
সহিসালামতে	Safely.	shisaalaamte
সহিসালমতী	Sahisalmati	shisaalmtii
সহিষ্ণুতার	Tolerance	shissnnutaar
সহিষ্ণুতায়	With tolerance	shissnnutaayy
সহিষ্ণুতাপূর্ব্বক	Tolerantly	shissnnutaapuurbbk
সহিষ্ণুতাপূর্বক	Tolerantly	shissnnutaapuurbk
সহিষ্ণুতাকে	Tolerance	shissnnutaake
সহিষ্ণুতাই	Tolerance	shissnnutaai
সহিষ্ণুতা	Tolerance	shissnnutaa
সহিষ্ণু	Tolerant	shissnnu
সহিতে।	With pleasure.	shite / 
সহিতে	With pleasure	shite
সংহিতায়	In the code	sNhitaayy
সহিত।	With.	shit / 
সহিত	With	shit
সহি	Sahi	shi
সংহারের	Annihilation	sNhaarer
সংহারে	In summary	sNhaare
সংহারিত	Destroyed	sNhaarit
সংহাররূপ	Summarization	sNhaarruup
সংহারপ্রাপ্ত	Annihilated	sNhaarpraapt
সংহারকের	Destroyer	sNhaarker
সংহারকর্ত্তাকে	To the destroyer	sNhaarkrttaake
সংহারকর্ত্তা	Destroyer	sNhaarkrttaa
সংহারকর্তাকে	To the destroyer	sNhaarkrtaake
সংহারকর্তা	Destroyer	sNhaarkrtaa
সংহারককে	To the exterminator	sNhaarkke
সংহারক।	Exterminator.	sNhaark / 
সংহারক	Exterminator	sNhaark
সংহার।	Annihilation.	sNhaar / 
সংহার	Massacre	sNhaar
সহার	Sahara	shaar
সহায়ের	Helper	shaayyer
সহায়রূপে।	As a help.	shaayyruupe / 
সহায়রা	Helpers	shaayyraa
সহায়দের	Helpers	shaayyder
সহায়তার	Assistance	shaayytaar
সহায়তাই	Help is	shaayytaai
সহায়তা	Help	shaay'taa
সহায়গণের	Helpers	shaayygnner
সহায়গণ	Helpers	shaayygnn
সহায়কে	Assistant	shaayyke
সহায়ক	Helpful	shaay'k
সহায়।	Help.	shaay' / 
সহায়	Help	shaay'
সহানুভূতিশীল	Compassionate	shaanubhuutishiil
সহানুভূতির	Of sympathy	shaanubhuutir
সহানুভূতি।	Sympathy.	shaanubhuuti / 
সহানুভূতি	Sympathy	shaanubhuuti
সহানুভুতি	Sympathy	shaanubhuti
সহানুগামী	Compassionate	shaanugaamii
সহাধিকারী	Co-owner	shaadhikaarii
সহাধিকারিণী	Co-owner	shaadhikaarinnii
সহাঙ্গ	Congenital	shaangg
সহস্র্র্র	Thousand	shsrrr
সহস্র্রসংখ্যক	Thousands	shsrrsNkhyk
সহস্র্রপতির	The thousand-man	shsrrptir
সহস্র্রপতি	Billionaire	shsrrpti
সহস্রের	Thousands	shsrer
সহস্রাধিক	Thousands	shsraadhik
সহস্রসংখ্যক	Thousands	shsrsNkhyk
সহস্রযুগ	Millennium	shsryug
সহস্রপতিরা	The Millennials	shsrptiraa
সহস্রপতির	The thousandth	shsrptir
সহস্রপতিবর্গের	Of the thousand-strong class	shsrptibrger
সহস্রপতিদেরকে	To the thousands	shsrptiderke
সহস্রপতিদের	The millennials	shsrptider
সহস্রপতিদিগকে	To the thousands	shsrptidigke
সহস্রপতিগণের	Of the thousands	shsrptignner
সহস্রপতিগণ	The Millennials	shsrptignn
সহস্রপতিকে	To the thousand	shsrptike
সহস্রপতিও	The thousandth person too	shsrptio
সহস্রপতি	Thousand-year-old	shsrpti
সহস্রদিন	Thousand days	shsrdin
সহস্রতম	Thousandth	shsrtm
সহস্রজনের	Thousands of people	shsrjner
সহস্রগুণ	A thousand times	shsrgunn
সহস্রগণের	Thousands	shsrgnner
সহস্রকে	In thousands	shsrke
সহস্র।	Thousand.	shsr / 
সহস্র	Thousand	shsr
সহসেনা	Companions	shsenaa
সহসা	Suddenly	shsaa
সহশিষ্যকে	To a fellow student	shshissyke
সহর্ষে	With pride	shrsse
সহযোদ্ধাদের	Comrades	shyeaaddhaader
সহযোদ্ধা	Comrade	shyoddhaa
সহযোগে।	In cooperation.	shyeaage / 
সহযোগে	In cooperation	shyeaage
